time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,10.000,373.758,-326.266,350.012,320.000,0.420
0.0762,10.000,167.531,-75.470,121.501,91.429,0.420
0.1781,10.000,124.735,12.226,56.254,26.122,0.420
0.2742,9.000,111.193,69.322,20.935,-6.251,0.420
0.3681,9.000,139.542,88.633,25.454,-1.786,0.420
0.4772,9.000,164.947,111.379,26.784,-0.510,0.420
0.5750,9.000,189.649,135.244,27.202,-0.146,0.420
0.6749,8.000,196.422,175.142,10.640,-13.756,0.420
0.7749,8.000,231.451,190.424,20.514,-3.930,0.420
0.8739,8.000,259.508,212.770,23.369,-1.123,0.420
0.9721,8.000,285.600,237.161,24.219,-0.321,0.420
1.0690,7.000,293.306,277.754,7.776,-13.806,0.420
1.1675,7.000,329.057,293.698,17.679,-3.945,0.420
1.2673,6.000,339.860,332.223,3.819,-14.841,0.420
1.3681,6.000,376.782,347.871,14.456,-4.240,0.420
1.4669,5.000,388.163,386.563,0.800,-14.926,0.420
1.5755,5.000,425.455,402.472,11.491,-4.265,0.420
1.6775,4.000,437.117,441.422,-2.153,-14.933,0.420
1.7734,4.000,474.636,457.561,8.538,-4.266,0.420
1.8711,3.000,486.487,496.710,-5.111,-14.933,0.420
1.9721,2.000,506.321,528.615,-11.147,-17.981,0.420
2.0736,1.000,528.640,558.663,-15.012,-18.852,0.420
2.1710,-0.000,551.842,588.363,-18.260,-19.100,0.420
2.2704,-1.000,574.693,617.368,-21.338,-19.172,0.420
2.3688,-2.000,597.144,645.884,-24.370,-19.192,0.420
2.4771,-3.000,619.226,674.014,-27.394,-19.198,0.420
2.5749,-4.000,640.985,701.824,-30.419,-19.199,0.420
2.6725,-5.000,662.466,729.366,-33.450,-19.200,0.420
2.7709,-6.000,683.710,756.682,-36.486,-19.200,0.420
2.8711,-7.000,704.750,783.806,-39.528,-19.200,0.420
2.9721,-8.000,725.617,810.769,-42.576,-19.200,0.420
3.0697,-9.000,746.335,837.595,-45.630,-19.200,0.420
3.1701,-10.000,766.926,864.306,-48.690,-19.200,0.420
3.2750,-10.000,806.004,876.075,-35.036,-5.486,0.420
3.3750,-11.000,816.696,912.492,-47.898,-15.282,0.420
3.4741,-12.000,834.291,941.828,-53.768,-18.080,0.420
3.5739,-12.000,872.400,954.252,-40.926,-5.166,0.420
3.6735,-12.000,901.313,975.929,-37.308,-1.476,0.420
3.7721,-12.000,927.617,1000.268,-36.326,-0.422,0.420
3.8700,-11.000,968.784,1007.536,-19.376,13.594,0.420
3.9719,-11.000,984.913,1043.217,-29.152,3.884,0.420
4.0699,-11.000,1007.911,1071.896,-31.992,1.110,0.420
4.1674,-11.000,1032.835,1098.537,-32.851,0.317,0.420
4.2761,-10.000,1073.873,1106.719,-16.423,13.805,0.420
4.3742,-10.000,1090.190,1142.878,-26.344,3.944,0.420
4.4729,-10.000,1113.435,1171.877,-29.221,1.127,0.420
4.5696,-10.000,1138.594,1198.766,-30.086,0.322,0.420
4.6687,-11.000,1145.648,1239.841,-47.096,-13.622,0.420
4.7665,-11.000,1181.087,1255.951,-37.432,-3.892,0.420
4.8662,-10.000,1225.125,1261.120,-17.998,12.602,0.420
4.9673,-10.000,1242.296,1296.415,-27.059,3.601,0.420
5.0666,-11.000,1247.186,1340.009,-46.412,-12.686,0.420
5.1683,-11.000,1269.374,1344.207,-37.416,-3.624,0.420
5.2660,-11.000,1272.289,1342.076,-34.894,-1.036,0.420
5.3654,-11.000,1273.296,1341.735,-34.220,-0.296,0.420
5.4734,-11.000,1273.724,1341.873,-34.075,-0.085,0.420
5.5720,-11.000,1273.959,1342.119,-34.080,-0.024,0.420
5.6705,-11.000,1274.115,1342.373,-34.129,-0.007,0.420
5.7681,-11.000,1274.228,1342.608,-34.190,-0.002,0.420
5.8751,-11.000,1274.311,1342.820,-34.255,-0.001,0.420
5.9720,-12.000,1255.776,1357.856,-51.040,-13.714,0.420
6.0689,-12.000,1265.513,1348.145,-41.316,-3.918,0.420
6.1686,-12.000,1268.250,1345.430,-38.590,-1.120,0.420
6.2684,-12.000,1268.988,1344.711,-37.862,-0.320,0.420
6.3688,-12.000,1269.152,1344.563,-37.705,-0.091,0.420
6.4649,-12.000,1269.152,1344.576,-37.712,-0.026,0.420
6.5730,-12.000,1269.104,1344.635,-37.765,-0.007,0.420
6.6716,-12.000,1269.043,1344.707,-37.832,-0.002,0.420
6.7722,-12.000,1268.976,1344.782,-37.903,-0.001,0.420
6.8698,-12.000,1268.908,1344.857,-37.974,-0.000,0.420
6.9697,-11.000,1284.435,1327.086,-21.326,13.714,0.420
7.0697,-11.000,1275.119,1337.495,-31.188,3.918,0.420
7.1682,-11.000,1272.719,1340.824,-34.052,1.120,0.420
7.2656,-11.000,1272.248,1342.084,-34.918,0.320,0.420
7.3658,-10.000,1287.884,1324.869,-18.492,13.806,0.420
7.4729,-10.000,1278.792,1335.619,-28.414,3.944,0.420
7.5703,-9.000,1292.214,1321.356,-14.571,14.841,0.420
7.6673,-9.000,1282.702,1333.153,-25.226,4.240,0.420
7.7690,-9.000,1280.590,1337.207,-28.308,1.212,0.420
7.8670,-8.000,1296.092,1321.107,-12.508,14.060,0.420
7.9688,-8.000,1287.246,1332.444,-22.599,4.017,0.420
8.0697,-7.000,1300.983,1318.575,-8.796,14.862,0.420
8.1677,-7.000,1291.769,1330.676,-19.454,4.246,0.420
8.2652,-7.000,1289.920,1334.978,-22.529,1.213,0.420
8.3741,-6.000,1305.650,1319.084,-6.717,14.061,0.420
8.4711,-6.000,1297.001,1330.594,-16.797,4.017,0.420
8.5632,-6.000,1295.311,1334.716,-19.702,1.148,0.420
8.6720,-6.000,1295.489,1336.605,-20.558,0.328,0.420
8.7693,-7.000,1277.502,1352.599,-37.549,-13.621,0.420
8.8661,-7.000,1287.841,1343.565,-27.862,-3.892,0.420
8.9655,-8.000,1272.539,1356.227,-41.844,-14.826,0.420
9.0641,-8.000,1283.459,1346.063,-31.302,-4.236,0.420
9.1714,-9.000,1268.163,1358.252,-45.045,-14.925,0.420
9.2692,-9.000,1278.948,1347.825,-34.438,-4.264,0.420
