time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0002,24.000,823.746,-776.254,800.000,976.696,0.480
0.0440,25.000,376.366,-284.304,330.335,240.335,0.480
0.1425,24.000,188.210,-54.062,121.136,34.736,0.480
0.2388,24.000,180.629,-6.506,93.568,7.168,0.480
0.3471,24.000,194.030,18.272,87.879,1.479,0.480
0.4442,24.000,211.184,37.774,86.705,0.305,0.480
0.5430,24.000,229.853,56.927,86.463,0.063,0.480
0.6408,24.000,249.697,76.872,86.413,0.013,0.480
0.7387,24.000,270.417,97.612,86.403,0.003,0.480
0.8381,24.000,291.855,119.054,86.401,0.001,0.480
0.9366,24.000,313.899,141.098,86.400,0.000,0.480
1.0436,24.000,336.455,163.655,86.400,0.000,0.480
1.1409,24.000,359.449,186.649,86.400,0.000,0.480
1.2379,23.000,363.305,227.420,67.943,-14.857,0.480
1.3451,23.000,399.383,239.915,79.734,-3.066,0.480
1.4415,24.000,442.787,241.538,100.625,14.225,0.480
1.5392,25.000,472.461,256.876,107.792,17.792,0.480
1.6382,24.000,463.282,312.854,75.214,-11.186,0.480
1.7462,25.000,513.877,308.779,102.549,12.549,0.480
1.8445,25.000,529.008,343.829,92.589,2.589,0.480
1.9384,25.000,552.099,371.030,90.534,0.534,0.480
2.0369,25.000,576.869,396.649,90.110,0.110,0.480
2.1469,26.000,618.524,401.564,108.480,14.880,0.480
2.2441,26.000,631.826,438.485,96.670,3.070,0.480
2.3404,26.000,654.554,466.087,94.234,0.634,0.480
2.4371,26.000,679.261,491.799,93.731,0.131,0.480
2.5445,26.000,704.405,517.151,93.627,0.027,0.480
2.6431,27.000,746.172,522.046,112.063,14.863,0.480
2.7402,27.000,759.526,558.993,100.267,3.067,0.480
2.8387,27.000,782.290,586.624,97.833,0.633,0.480
2.9369,27.000,807.026,612.365,97.331,0.131,0.480
3.0358,27.000,832.194,637.740,97.227,0.027,0.480
3.1446,27.000,857.474,663.062,97.206,0.006,0.480
3.2410,27.000,882.795,688.392,97.201,0.001,0.480
3.3396,27.000,908.140,713.740,97.200,0.000,0.480
3.4389,27.000,933.504,739.104,97.200,0.000,0.480
3.5376,27.000,958.883,764.483,97.200,0.000,0.480
3.6446,27.000,984.275,789.875,97.200,0.000,0.480
3.7433,27.000,1009.678,815.278,97.200,0.000,0.480
3.8415,26.000,1015.583,858.098,78.743,-14.857,0.480
3.9386,26.000,1053.402,872.334,90.534,-3.066,0.480
4.0386,25.000,1062.271,913.251,74.510,-15.490,0.480
4.1370,24.000,1081.537,944.844,68.347,-18.053,0.480
4.2358,24.000,1122.799,957.450,82.675,-3.725,0.480
4.3444,23.000,1132.963,998.614,67.174,-15.626,0.480
4.4426,23.000,1172.498,1013.347,79.576,-3.224,0.480
4.5397,21.000,1162.926,1072.486,45.220,-30.380,0.480
4.6372,21.000,1214.923,1076.261,69.331,-6.269,0.480
4.7453,19.000,1208.544,1133.486,37.529,-31.008,0.480
4.8441,17.000,1222.690,1171.997,25.346,-36.113,0.480
4.9415,14.000,1222.130,1224.656,-1.263,-52.023,0.480
5.0407,12.000,1254.952,1248.557,3.197,-40.449,0.480
5.1382,9.000,1259.525,1299.539,-20.007,-52.918,0.480
5.2376,6.000,1274.975,1341.649,-33.337,-55.491,0.480
5.3436,5.000,1332.328,1347.762,-7.717,-26.308,0.480
5.4418,3.000,1346.507,1393.969,-23.731,-35.143,0.480
5.5413,1.000,1367.875,1433.368,-32.747,-36.966,0.480
5.6413,-0.000,1410.351,1454.083,-21.866,-22.485,0.480
5.7420,-2.000,1419.544,1501.443,-40.949,-34.354,0.480
5.8383,-4.000,1436.820,1538.075,-50.627,-36.803,0.480
5.9352,-6.000,1429.438,1546.190,-58.376,-37.309,0.480
6.0437,-7.000,1441.902,1536.448,-47.273,-22.556,0.480
6.1425,-8.000,1441.995,1537.769,-47.887,-19.512,0.480
6.2404,-10.000,1418.695,1557.471,-69.388,-33.740,0.480
6.3377,-11.000,1426.458,1548.750,-61.146,-21.819,0.480
6.4452,-12.000,1424.374,1549.119,-62.372,-19.360,0.480
6.5405,-13.000,1420.010,1551.126,-65.558,-18.852,0.480
6.6417,-15.000,1394.547,1569.785,-87.619,-33.604,0.480
6.7414,-15.000,1421.218,1543.331,-61.057,-6.934,0.480
6.8428,-17.000,1385.877,1571.057,-92.590,-31.145,0.480
6.9397,-17.000,1410.236,1546.224,-67.994,-6.427,0.480
7.0361,-18.000,1394.599,1557.559,-81.480,-16.183,0.480
7.1446,-19.000,1386.570,1561.030,-87.230,-18.197,0.480
7.2414,-20.000,1380.168,1562.659,-91.246,-18.612,0.480
7.3375,-20.000,1394.411,1547.359,-76.474,-3.841,0.480
7.4348,-21.000,1376.602,1560.369,-91.883,-15.650,0.480
7.5361,-21.000,1388.483,1547.409,-79.463,-3.229,0.480
7.6351,-22.000,1370.180,1560.894,-95.357,-15.524,0.480
7.7437,-22.000,1381.953,1548.027,-83.037,-3.203,0.480
7.8410,-21.000,1401.437,1525.512,-62.037,14.196,0.480
7.9401,-21.000,1390.383,1536.991,-73.304,2.929,0.480
8.0408,-20.000,1405.645,1519.989,-57.172,15.462,0.480
8.1388,-19.000,1411.405,1513.651,-51.123,18.048,0.480
8.2378,-18.000,1415.613,1509.851,-47.119,18.581,0.480
8.3351,-17.000,1419.825,1506.887,-43.531,18.691,0.480
8.4422,-17.000,1406.898,1523.873,-58.488,3.857,0.480
8.5423,-16.000,1422.854,1509.268,-43.207,15.653,0.480
8.6407,-15.000,1429.804,1504.366,-37.281,18.087,0.480
8.7392,-14.000,1435.126,1501.685,-33.279,18.589,0.480
8.8364,-13.000,1440.309,1499.648,-29.669,18.693,0.480
8.9357,-12.000,1445.630,1497.899,-26.134,18.714,0.480
9.0353,-12.000,1433.710,1515.857,-41.073,3.862,0.480
9.1352,-11.000,1450.539,1502.060,-25.760,15.654,0.480
9.2435,-10.000,1458.239,1497.837,-19.799,18.087,0.480
9.3422,-8.000,1481.618,1476.213,2.703,33.447,0.480
9.4403,-8.000,1458.761,1506.561,-23.900,6.902,0.480
9.5394,-7.000,1473.825,1495.766,-10.971,16.281,0.480
9.6358,-6.000,1481.581,1492.538,-5.478,18.217,0.480
9.7434,-6.000,1470.504,1510.463,-19.979,3.759,0.480
9.8419,-6.000,1470.389,1516.400,-23.006,0.776,0.480
9.9387,-4.000,1507.033,1480.505,13.264,29.874,0.480
10.0375,-3.000,1504.026,1488.047,7.990,21.022,0.480
10.1353,-2.000,1508.163,1488.666,9.749,19.195,0.480
10.2434,-2.000,1496.436,1507.436,-5.500,3.961,0.480
10.3414,-1.000,1513.685,1494.072,9.806,15.674,0.480
10.4389,-1.000,1504.389,1509.671,-2.641,3.234,0.480
10.5399,-2.000,1484.080,1531.438,-23.679,-14.190,0.480
10.6398,-3.000,1477.032,1538.825,-30.896,-17.785,0.480
10.7383,-5.000,1451.941,1559.404,-53.731,-33.384,0.480
10.8356,-4.000,1496.897,1514.513,-8.808,7.968,0.480
10.9422,-3.000,1509.486,1502.879,3.304,16.501,0.480
11.0408,-2.000,1515.689,1498.388,8.650,18.262,0.480
11.1383,-1.000,1494.409,1509.590,6.408,11.424,0.320
11.2354,-2.000,1457.422,1535.502,-13.202,-5.174,0.320
11.3428,-3.000,1434.943,1546.057,-19.714,-8.668,0.320
11.4411,-5.000,1404.030,1560.725,-34.059,-16.983,0.320
11.5375,-7.000,1380.658,1567.178,-41.851,-18.733,0.320
11.6351,-9.000,1359.496,1570.850,-48.274,-19.102,0.320
11.7334,-12.000,1326.943,1581.826,-65.002,-26.758,0.320
11.8396,-14.000,1313.379,1576.940,-65.119,-20.791,0.320
11.9372,-16.000,1295.613,1575.914,-69.959,-19.535,0.320
12.0348,-18.000,1277.285,1575.158,-75.803,-19.271,0.320
12.1429,-21.000,1246.854,1582.658,-92.326,-26.794,0.320
12.2405,-23.000,1235.031,1574.879,-92.331,-20.799,0.320
12.3393,-26.000,1206.373,1580.167,-107.648,-27.116,0.320
12.4377,-29.000,1182.907,1580.059,-117.977,-28.445,0.320
12.5348,-30.000,1185.422,1560.995,-106.099,-13.567,0.320
12.6340,-32.000,1164.021,1562.220,-116.546,-18.014,0.320
12.7418,-34.000,1146.277,1559.704,-123.482,-18.950,0.320
12.8396,-34.000,1154.155,1538.696,-108.522,-3.990,0.320
12.9390,-36.000,1125.630,1546.950,-126.530,-15.998,0.320
13.0370,-37.000,1119.045,1536.795,-124.479,-10.947,0.320
13.1362,-38.000,1108.571,1530.529,-126.416,-9.884,0.320
13.2359,-40.000,1084.964,1533.799,-139.771,-17.239,0.320
13.3337,-41.000,1079.583,1522.382,-136.740,-11.208,0.320
13.4322,-42.000,1069.507,1515.671,-138.471,-9.939,0.320
13.5394,-44.000,1046.105,1518.694,-151.782,-17.250,0.320
