time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,61.000,1014.841,-985.159,1000.000,1935.733,0.320
0.0545,61.000,691.420,-633.881,662.651,479.651,0.320
0.1524,60.000,328.135,-244.293,286.214,106.214,0.320
0.2501,60.000,260.732,-151.905,206.319,26.319,0.320
0.3527,60.000,252.866,-120.177,186.521,6.521,0.320
0.4518,61.000,275.052,-119.454,197.253,14.253,0.320
0.5507,62.000,291.018,-113.320,202.169,16.169,0.320
0.6497,62.000,289.560,-90.453,190.006,4.006,0.320
0.7506,63.000,312.596,-92.664,202.630,13.630,0.320
0.8508,63.000,312.507,-72.248,192.377,3.377,0.320
0.9501,63.000,319.919,-59.755,189.837,0.837,0.320
1.0510,64.000,344.699,-64.990,204.845,12.845,0.320
1.1490,64.000,344.656,-45.709,195.183,3.183,0.320
1.2575,64.000,351.752,-33.826,192.789,0.789,0.320
1.3476,65.000,376.175,-39.490,207.833,12.833,0.320
1.4587,65.000,375.807,-20.552,198.180,3.180,0.320
1.5558,65.000,382.621,-8.955,195.788,0.788,0.320
1.6543,65.000,391.166,0.776,195.195,0.195,0.320
1.7516,66.000,415.737,-5.635,210.686,12.686,0.320
1.8502,66.000,415.225,12.939,201.143,3.143,0.320
1.9503,67.000,437.488,8.656,214.416,13.416,0.320
2.0526,67.000,436.350,27.701,204.324,3.324,0.320
2.1519,68.000,458.411,23.489,217.461,13.461,0.320
2.2527,68.000,457.184,42.513,207.335,3.335,0.320
2.3526,69.000,479.188,38.261,220.464,13.464,0.320
2.4505,69.000,477.919,57.247,210.336,3.336,0.320
2.5507,70.000,499.889,52.962,223.464,13.464,0.320
2.6515,70.000,499.271,72.599,213.336,3.336,0.320
2.7516,70.000,507.232,85.579,210.827,0.827,0.320
2.8515,70.000,517.897,97.488,210.205,0.205,0.320
2.9515,70.000,529.725,109.623,210.051,0.051,0.320
3.0505,69.000,525.541,136.790,194.375,-12.625,0.320
3.1496,69.000,548.692,140.949,203.872,-3.128,0.320
3.2487,68.000,548.322,167.147,190.588,-13.412,0.320
3.3567,66.000,539.841,201.037,169.402,-28.598,0.320
3.4545,65.000,560.822,210.269,175.277,-19.723,0.320
3.5523,64.000,575.668,226.717,174.476,-17.524,0.320
3.6496,61.000,555.887,274.394,140.746,-42.254,0.320
3.7477,59.000,572.979,290.468,141.256,-35.744,0.320
3.8477,57.000,585.915,312.177,136.869,-34.131,0.320
