time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-21.000,-656.976,686.659,-671.817,-617.217,0.320
0.0324,-22.000,-221.379,278.917,-250.148,-192.948,0.320
0.1344,-21.000,-41.763,125.606,-83.685,-29.085,0.320
0.2312,-21.000,-6.188,115.015,-60.602,-6.002,0.320
0.3416,-21.000,10.506,122.183,-55.838,-1.238,0.320
0.4402,-21.000,22.944,132.655,-54.856,-0.256,0.320
0.5390,-21.000,34.196,143.502,-54.653,-0.053,0.320
0.6381,-21.000,44.943,154.165,-54.611,-0.011,0.320
0.7381,-21.000,56.213,165.417,-54.602,-0.002,0.320
0.8352,-21.000,68.174,177.375,-54.600,-0.000,0.320
0.9331,-21.000,80.727,189.927,-54.600,-0.000,0.320
1.0312,-21.000,93.784,202.984,-54.600,-0.000,0.320
1.1407,-21.000,107.270,216.470,-54.600,-0.000,0.320
1.2381,-20.000,133.370,215.910,-41.270,10.730,0.320
1.3369,-20.000,139.596,239.168,-49.786,2.214,0.320
1.4341,-20.000,152.757,255.843,-51.543,0.457,0.320
1.5333,-20.000,167.462,271.274,-51.906,0.094,0.320
1.6336,-20.000,182.582,286.543,-51.981,0.019,0.320
1.7357,-20.000,197.870,301.862,-51.996,0.004,0.320
1.8330,-20.000,213.261,317.260,-51.999,0.001,0.320
1.9417,-20.000,228.734,332.733,-52.000,0.000,0.320
2.0394,-20.000,244.273,348.273,-52.000,0.000,0.320
2.1408,-19.000,272.020,349.557,-38.769,10.730,0.320
2.2393,-19.000,279.631,374.398,-47.383,2.214,0.320
2.3398,-18.000,306.209,378.018,-35.904,11.187,0.320
2.4378,-18.000,313.959,403.711,-44.876,2.308,0.320
2.5356,-18.000,328.634,422.238,-46.802,0.476,0.320
2.6356,-18.000,344.660,439.207,-47.274,0.098,0.320
2.7336,-17.000,373.154,441.374,-34.110,10.750,0.320
2.8328,-17.000,381.452,466.913,-42.730,2.218,0.320
2.9317,-17.000,396.371,485.530,-44.579,0.458,0.320
3.0318,-16.000,424.815,488.206,-31.696,10.825,0.320
3.1408,-16.000,433.254,513.994,-40.370,2.234,0.320
3.2394,-15.000,460.587,518.368,-28.891,11.191,0.320
3.3330,-15.000,468.990,544.691,-37.850,2.309,0.320
3.4426,-14.000,496.481,549.332,-26.426,11.207,0.320
3.5423,-14.000,505.057,575.842,-35.393,2.312,0.320
3.6312,-13.000,532.703,580.634,-23.965,11.207,0.320
3.7367,-13.000,541.415,607.270,-32.928,2.313,0.320
3.8412,-12.000,569.177,612.168,-21.495,11.207,0.320
3.9404,-11.000,590.243,624.477,-17.117,13.043,0.320
4.0362,-11.000,597.906,652.958,-27.526,2.691,0.320
4.1373,-10.000,625.717,658.484,-16.384,11.286,0.320
4.2380,-9.000,647.019,671.133,-12.057,13.059,0.320
4.3362,-9.000,654.924,699.860,-22.468,2.695,0.320
4.4393,-8.000,682.950,705.587,-11.318,11.286,0.320
4.5381,-8.000,692.184,732.818,-20.317,2.329,0.320
4.6376,-7.000,720.434,738.177,-8.872,11.211,0.320
4.7375,-6.000,741.927,750.867,-4.470,13.043,0.320
4.8368,-5.000,762.214,765.250,-1.518,13.422,0.320
4.9341,-5.000,770.158,794.550,-12.196,2.770,0.320
5.0332,-5.000,786.150,814.990,-14.420,0.571,0.320
5.1332,-5.000,803.541,833.341,-14.900,0.118,0.320
5.2531,-5.000,820.999,851.038,-15.019,0.024,0.320
5.3426,-5.000,838.282,868.411,-15.065,0.005,0.320
5.4316,-5.000,855.369,885.558,-15.095,0.001,0.320
5.5336,-5.000,872.278,902.521,-15.121,0.000,0.320
5.6350,-5.000,889.035,919.330,-15.148,0.000,0.320
5.7326,-4.000,917.918,921.594,-1.838,10.730,0.320
5.8349,-4.000,926.505,947.255,-10.375,2.214,0.320
5.9347,-2.000,966.181,937.146,14.518,21.917,0.320
6.0330,-2.000,966.729,972.504,-2.887,4.523,0.320
6.1320,-1.000,993.032,979.335,6.848,11.663,0.320
6.2410,-0.000,1013.995,992.151,10.922,13.137,0.320
6.3402,-0.000,1005.896,1004.905,0.496,2.711,0.320
6.4388,-0.000,1005.724,1009.035,-1.656,0.559,0.320
6.5382,1.000,1018.377,995.906,11.236,10.846,0.320
6.6373,1.000,999.444,992.690,3.377,3.301,0.180
6.7352,1.000,985.825,983.662,1.082,1.005,0.180
6.8333,2.000,974.968,968.329,3.320,2.741,0.180
6.9364,1.000,957.148,960.189,-1.521,-1.601,0.180
7.0338,2.000,948.195,943.135,2.530,1.948,0.180
7.1339,2.000,935.379,933.026,1.177,0.593,0.180
7.2311,2.000,923.316,921.783,0.766,0.180,0.180
7.3395,2.000,911.377,910.091,0.643,0.055,0.180
7.4366,2.000,899.389,898.175,0.607,0.017,0.180
7.5319,2.000,887.309,886.115,0.597,0.005,0.180
7.6405,2.000,875.139,873.948,0.596,0.002,0.180
7.7400,2.000,862.886,861.693,0.596,0.000,0.180
