time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0004,-8.000,-263.035,292.717,-277.876,-253.867,0.320
0.0817,-8.000,-58.193,115.732,-86.963,-62.905,0.320
0.1890,-8.000,2.228,81.614,-39.693,-15.587,0.320
0.2896,-7.000,42.041,66.786,-12.373,8.775,0.320
0.3896,-8.000,32.198,101.515,-34.658,-10.463,0.320
0.4889,-7.000,69.047,91.433,-11.193,10.045,0.320
0.5876,-7.000,76.713,114.294,-18.791,2.489,0.320
0.6859,-8.000,72.597,145.293,-36.348,-12.020,0.320
0.7887,-8.000,96.903,151.611,-27.354,-2.979,0.320
0.8861,-8.000,114.498,164.822,-25.162,-0.738,0.320
0.9838,-8.000,130.485,179.794,-24.654,-0.183,0.320
1.0815,-8.000,146.120,195.250,-24.565,-0.045,0.320
1.1881,-8.000,161.707,210.864,-24.579,-0.011,0.320
1.2896,-8.000,177.315,226.552,-24.618,-0.003,0.320
1.3896,-8.000,192.957,242.286,-24.664,-0.001,0.320
1.4868,-8.000,208.632,258.055,-24.712,-0.000,0.320
1.5837,-8.000,224.335,273.855,-24.760,-0.000,0.320
1.6824,-8.000,240.063,289.678,-24.808,-0.000,0.320
1.7885,-8.000,255.812,305.523,-24.856,-0.000,0.320
1.8800,-8.000,271.578,321.386,-24.904,-0.000,0.320
1.9789,-9.000,269.797,350.987,-40.595,-12.637,0.320
2.0872,-9.000,294.959,357.245,-31.143,-3.131,0.320
2.1847,-9.000,313.002,370.685,-28.842,-0.776,0.320
2.2820,-9.000,329.299,385.923,-28.312,-0.192,0.320
2.3815,-9.000,345.180,401.622,-28.221,-0.048,0.320
2.4890,-10.000,343.407,431.172,-43.883,-12.649,0.320
2.5863,-10.000,368.554,437.410,-34.428,-3.134,0.320
2.6842,-10.000,386.578,450.838,-32.130,-0.777,0.320
2.7839,-10.000,402.856,466.068,-31.606,-0.192,0.320
2.8802,-11.000,401.157,495.485,-47.164,-12.685,0.320
2.9810,-11.000,426.299,501.677,-37.689,-3.143,0.320
3.0816,-11.000,444.302,515.083,-35.390,-0.779,0.320
3.1796,-12.000,442.995,544.022,-50.514,-12.830,0.320
3.2822,-11.000,482.768,533.351,-25.292,9.458,0.320
3.3810,-12.000,474.280,570.510,-48.115,-10.294,0.320
3.4798,-12.000,498.024,578.912,-40.444,-2.551,0.320
3.5885,-12.000,515.919,593.115,-38.598,-0.632,0.320
3.6878,-12.000,532.352,608.740,-38.194,-0.157,0.320
3.7873,-12.000,548.410,624.706,-38.148,-0.039,0.320
3.8791,-12.000,564.364,640.747,-38.191,-0.010,0.320
3.9864,-12.000,580.285,656.797,-38.256,-0.002,0.320
4.0874,-12.000,596.189,672.842,-38.326,-0.001,0.320
4.1868,-11.000,626.647,672.156,-22.755,12.637,0.320
4.2795,-11.000,633.615,698.268,-32.326,3.131,0.320
4.3878,-11.000,647.641,717.136,-34.748,0.776,0.320
4.4883,-10.000,677.921,717.429,-19.754,12.829,0.320
4.5863,-10.000,685.092,744.021,-29.465,3.179,0.320
4.6832,-10.000,699.377,763.209,-31.916,0.788,0.320
4.7797,-10.000,715.338,780.474,-32.568,0.195,0.320
4.8875,-10.000,731.639,797.190,-32.775,0.048,0.320
4.9853,-9.000,762.526,796.983,-17.228,12.649,0.320
5.0819,-9.000,769.883,823.478,-26.797,3.134,0.320
5.1798,-9.000,784.246,842.664,-29.209,0.777,0.320
5.2775,-8.000,814.816,843.224,-14.204,12.830,0.320
5.3860,-8.000,822.236,870.041,-23.903,3.179,0.320
5.4868,-8.000,836.734,889.418,-26.342,0.788,0.320
5.5856,-8.000,852.878,906.843,-26.982,0.195,0.320
5.6832,-8.000,869.337,923.692,-27.177,0.048,0.320
5.7833,-7.000,900.359,923.596,-11.618,12.649,0.320
5.8801,-7.000,907.834,950.184,-21.175,3.134,0.320
5.9813,-7.000,922.298,969.448,-23.575,0.777,0.320
6.0782,-7.000,938.393,986.795,-24.201,0.192,0.320
6.1793,-7.000,954.807,1003.583,-24.388,0.048,0.320
6.2803,-6.000,985.790,1003.435,-8.823,12.649,0.320
6.3803,-6.000,977.316,1014.063,-18.373,3.134,0.320
6.4772,-6.000,975.838,1017.372,-20.767,0.777,0.320
6.5769,-6.000,975.996,1018.770,-21.387,0.192,0.320
6.6852,-5.000,991.040,1002.889,-5.925,12.685,0.320
6.7862,-5.000,982.612,1013.605,-15.496,3.143,0.320
6.8861,-5.000,981.191,1016.972,-17.891,0.779,0.320
6.9883,-4.000,995.965,1001.691,-2.863,12.830,0.320
7.0853,-4.000,987.574,1012.651,-12.538,3.179,0.320
7.1822,-3.000,1000.814,999.435,0.689,13.425,0.320
7.2823,-3.000,992.208,1011.062,-9.427,3.327,0.320
7.3819,-2.000,1005.534,998.143,3.696,13.461,0.320
7.4842,-2.000,997.070,1009.954,-6.442,3.336,0.320
7.5812,-1.000,1010.534,997.174,6.680,13.464,0.320
7.6830,-0.000,1016.754,992.375,12.190,15.973,0.320
7.7833,-0.000,1006.843,1006.494,0.174,3.958,0.320
7.8850,1.000,1019.378,993.697,12.840,13.618,0.320
7.9858,1.000,1010.528,1005.323,2.603,3.374,0.320
8.0766,1.000,1009.176,1009.035,0.071,0.836,0.320
8.1776,2.000,1023.279,993.098,15.091,12.844,0.320
8.2774,2.000,1014.350,1003.468,5.441,3.183,0.320
8.3765,2.000,1012.581,1006.463,3.059,0.789,0.320
8.4773,2.000,1012.520,1007.565,2.478,0.195,0.320
8.5860,2.000,1012.828,1008.142,2.343,0.048,0.320
8.6843,2.000,1013.179,1008.543,2.318,0.012,0.320
8.7825,2.000,1013.502,1008.859,2.321,0.003,0.320
8.8802,2.000,1013.784,1009.121,2.331,0.001,0.320
8.9770,2.000,1014.026,1009.341,2.343,0.000,0.320
9.0811,2.000,1014.234,1009.525,2.354,0.000,0.320
9.1822,1.000,997.690,1024.243,-13.277,-12.637,0.320
9.2812,1.000,1007.926,1015.456,-3.765,-3.131,0.320
9.3821,2.000,1024.626,996.146,14.240,11.861,0.320
9.4832,2.000,1016.106,1005.447,5.329,2.939,0.320
9.5811,2.000,1014.240,1007.979,3.131,0.728,0.320
9.6805,2.000,1013.987,1008.797,2.595,0.180,0.320
9.7789,2.000,1014.103,1009.161,2.471,0.045,0.320
9.8761,3.000,1028.009,991.823,18.093,12.648,0.320
9.9845,4.000,1032.277,983.798,24.240,15.771,0.320
10.0851,5.000,1034.064,977.977,28.043,16.545,0.320
10.1825,5.000,1021.435,990.178,15.628,4.100,0.320
10.2800,6.000,1031.922,975.487,28.217,13.653,0.320
10.3787,6.000,1021.401,985.434,17.983,3.383,0.320
10.4791,7.000,1032.372,970.136,31.118,13.475,0.320
10.5760,7.000,1021.938,979.891,21.023,3.339,0.320
10.6818,8.000,1032.903,964.509,34.197,13.465,0.320
10.7789,8.000,997.991,972.596,12.697,5.771,0.160
10.8791,8.000,980.922,962.090,9.416,2.473,0.160
10.9790,8.000,965.417,949.380,8.019,1.060,0.160
11.0791,9.000,953.320,929.601,11.860,3.883,0.160
11.1790,9.000,936.684,917.366,9.659,1.664,0.160
11.2800,8.000,915.224,906.633,4.295,-2.715,0.160
11.3772,8.000,902.221,890.495,5.863,-1.164,0.160
11.4794,8.000,888.131,875.043,6.544,-0.499,0.160
11.5794,7.000,867.618,862.789,2.414,-3.642,0.160
11.6789,7.000,854.900,845.881,4.510,-1.561,0.160
11.7793,7.000,840.828,829.996,5.416,-0.669,0.160
11.8810,7.000,826.105,814.481,5.812,-0.287,0.160
11.9794,6.000,805.174,802.055,1.559,-3.551,0.160
12.0768,6.000,792.151,784.950,3.601,-1.522,0.160
12.1842,5.000,771.971,771.867,0.052,-4.081,0.160
12.2834,5.000,759.288,754.500,2.394,-1.749,0.160
12.3813,4.000,739.269,741.324,-1.027,-4.178,0.160
12.4815,4.000,726.669,723.933,1.368,-1.791,0.160
12.5794,3.000,706.696,710.758,-2.031,-4.196,0.160
12.6777,3.000,694.125,693.380,0.373,-1.798,0.160
12.7772,2.000,674.172,680.221,-3.024,-4.199,0.160
12.8779,2.000,661.615,662.857,-0.621,-1.800,0.160
12.9760,1.000,641.674,649.712,-4.019,-4.200,0.160
13.0794,1.000,629.127,632.361,-1.617,-1.800,0.160
13.1782,1.000,615.063,616.236,-0.587,-0.771,0.160
13.2756,1.000,600.289,600.576,-0.144,-0.331,0.160
13.3781,-0.000,579.287,588.054,-4.383,-3.570,0.160
