time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,4.000,152.654,-122.972,137.813,126.609,0.320
0.0546,3.000,51.761,5.778,22.991,14.570,0.320
0.1513,4.000,67.770,16.158,25.806,14.562,0.320
0.2596,4.000,71.338,42.796,14.271,3.005,0.320
0.3563,3.000,68.759,73.664,-2.453,-10.936,0.320
0.4543,3.000,93.365,80.879,6.243,-2.257,0.320
0.5630,3.000,111.084,94.982,8.051,-0.466,0.320
0.6587,3.000,127.382,110.508,8.437,-0.096,0.320
0.7555,3.000,143.388,126.327,8.530,-0.020,0.320
0.8553,3.000,159.333,142.207,8.563,-0.004,0.320
0.9524,3.000,175.266,158.101,8.583,-0.001,0.320
1.0599,3.000,191.197,173.997,8.600,-0.000,0.320
1.1578,3.000,207.128,189.894,8.617,-0.000,0.320
1.2559,3.000,223.059,205.791,8.634,-0.000,0.320
1.3519,3.000,238.990,221.688,8.651,-0.000,0.320
1.4505,3.000,254.922,237.586,8.668,-0.000,0.320
1.5577,2.000,255.412,266.765,-5.677,-11.556,0.320
1.6555,2.000,281.091,274.080,3.506,-2.384,0.320
1.7539,1.000,283.963,301.867,-8.952,-12.048,0.320
1.8519,1.000,310.448,309.217,0.615,-2.486,0.320
1.9507,1.000,329.193,324.006,2.594,-0.513,0.320
2.0593,1.000,346.246,340.232,3.007,-0.106,0.320
2.1587,1.000,362.866,356.674,3.096,-0.022,0.320
2.2557,-0.000,363.886,386.370,-11.242,-11.560,0.320
2.3531,-0.000,390.003,394.138,-2.067,-2.385,0.320
2.4616,-0.000,408.684,409.033,-0.174,-0.492,0.320
2.5597,-0.000,425.732,425.299,0.217,-0.102,0.320
2.6598,-1.000,426.078,454.206,-14.064,-11.577,0.320
2.7579,-1.000,451.579,461.343,-4.882,-2.389,0.320
2.8576,-1.000,469.728,475.712,-2.992,-0.493,0.320
2.9552,-2.000,470.040,503.974,-16.967,-11.657,0.320
3.0538,-1.000,508.593,495.324,6.635,9.150,0.320
3.1609,-2.000,501.641,531.629,-14.994,-9.667,0.320
3.2591,-2.000,525.664,540.330,-7.333,-1.995,0.320
3.3571,-2.000,543.531,555.053,-5.761,-0.412,0.320
3.4555,-2.000,560.085,570.975,-5.445,-0.085,0.320
3.5524,-2.000,576.331,587.109,-5.389,-0.018,0.320
3.6502,-2.000,592.482,603.255,-5.386,-0.004,0.320
3.7598,-2.000,608.587,619.377,-5.395,-0.001,0.320
3.8568,-2.000,624.661,635.471,-5.405,-0.000,0.320
3.9540,-2.000,640.708,651.541,-5.416,-0.000,0.320
4.0505,-2.000,656.734,667.589,-5.428,-0.000,0.320
4.1595,-2.000,672.742,683.619,-5.439,-0.000,0.320
4.2586,-2.000,644.464,680.722,-5.061,-0.000,0.180
4.3569,-2.000,618.020,675.892,-5.071,-0.000,0.180
4.4522,-2.000,593.465,669.090,-5.081,-0.000,0.180
4.5501,-2.000,570.515,660.612,-5.092,-0.000,0.180
4.6500,-2.000,548.931,650.708,-5.102,-0.000,0.180
4.7588,-2.000,528.506,639.593,-5.113,-0.000,0.180
4.8559,-2.000,509.067,627.448,-5.123,-0.000,0.180
4.9542,-2.000,506.070,630.655,-5.133,-0.000,0.180
5.0521,-1.000,511.495,623.009,4.030,6.568,0.180
5.1503,-1.000,504.627,630.989,-1.161,1.383,0.180
5.2574,-0.000,510.078,624.083,6.916,6.860,0.180
5.3550,-0.000,503.931,631.994,1.500,1.444,0.180
5.4514,-0.000,502.168,635.255,0.360,0.304,0.180
5.5574,1.000,508.773,626.324,9.294,6.632,0.180
5.6555,2.000,510.436,622.084,13.236,7.965,0.180
5.7545,2.000,503.721,629.608,6.959,1.677,0.180
5.8536,3.000,509.410,621.008,14.819,6.921,0.180
5.9517,3.000,503.615,627.328,9.371,1.457,0.180
