time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-0.000,25.465,25.465,0.000,0.000,0.440
0.0108,-0.000,50.930,50.930,0.000,0.000,0.440
0.1097,-0.000,76.394,76.394,0.000,0.000,0.440
0.2079,-0.000,101.859,101.859,0.000,0.000,0.440
0.3034,-0.000,127.324,127.324,0.000,0.000,0.440
0.4128,-1.000,132.375,169.303,-18.464,-14.857,0.440
0.5106,-1.000,169.466,182.826,-6.680,-3.066,0.440
0.6071,-1.000,197.223,205.731,-4.254,-0.633,0.440
0.7029,-1.000,223.069,230.587,-3.759,-0.131,0.440
0.8112,-1.000,248.533,255.859,-3.663,-0.027,0.440
0.9071,-1.000,273.930,281.228,-3.649,-0.006,0.440
1.0042,-1.000,299.322,306.625,-3.652,-0.001,0.440
1.1031,-2.000,304.307,348.551,-22.122,-14.857,0.440
1.2096,-2.000,341.341,362.031,-10.345,-3.066,0.440
1.3078,-2.000,369.048,384.900,-7.926,-0.633,0.440
1.4066,-2.000,394.850,409.727,-7.439,-0.131,0.440
1.5054,-2.000,420.276,434.975,-7.349,-0.027,0.440
1.6031,-2.000,445.640,460.324,-7.342,-0.006,0.440
1.7101,-2.000,471.002,485.707,-7.352,-0.001,0.440
1.8086,-2.000,496.375,511.107,-7.366,-0.000,0.440
1.9044,-2.000,521.759,536.519,-7.380,-0.000,0.440
2.0038,-2.000,547.153,561.941,-7.394,-0.000,0.440
2.1029,-2.000,572.555,587.372,-7.409,-0.000,0.440
2.2113,-2.000,597.964,612.811,-7.423,-0.000,0.440
2.3080,-2.000,623.380,638.255,-7.438,-0.000,0.440
2.4057,-2.000,648.801,663.705,-7.452,-0.000,0.440
2.5039,-2.000,674.226,689.159,-7.466,-0.000,0.440
2.6126,-2.000,699.655,714.617,-7.481,-0.000,0.440
2.7102,-1.000,742.502,720.563,10.969,14.857,0.440
2.8093,-0.000,774.174,738.904,17.635,17.923,0.440
2.9083,-0.000,786.525,779.705,3.410,3.698,0.440
3.0056,-0.000,809.999,809.049,0.475,0.763,0.440
3.1024,1.000,852.175,815.507,18.334,15.015,0.440
3.2102,1.000,866.255,853.406,6.425,3.098,0.440
3.3091,1.000,889.714,881.769,3.973,0.639,0.440
3.4062,2.000,931.572,887.698,21.937,14.989,0.440
3.5044,2.000,945.320,925.209,10.055,3.093,0.440
3.6037,2.000,968.485,953.255,7.615,0.638,0.440
3.7123,2.000,993.576,979.331,7.123,0.132,0.440
3.8098,2.000,1019.052,1004.987,7.033,0.027,0.440
3.9100,2.000,1044.596,1030.545,7.026,0.006,0.440
4.0081,2.000,1070.144,1056.072,7.036,0.001,0.440
4.1062,2.000,1095.684,1081.586,7.049,0.000,0.440
4.2036,2.000,1121.216,1107.089,7.063,0.000,0.440
4.3024,2.000,1146.740,1132.585,7.078,0.000,0.440
4.4109,2.000,1172.257,1158.073,7.092,0.000,0.440
4.5076,2.000,1197.769,1183.556,7.106,0.000,0.440
4.6061,2.000,1223.276,1209.034,7.121,0.000,0.440
4.7053,2.000,1248.778,1234.508,7.135,0.000,0.440
4.8028,2.000,1274.277,1259.978,7.150,0.000,0.440
4.9013,2.000,1299.774,1285.446,7.164,0.000,0.440
5.0113,2.000,1325.267,1310.910,7.178,0.000,0.440
5.1121,2.000,1350.759,1336.373,7.193,0.000,0.440
5.2107,1.000,1356.734,1379.248,-11.257,-14.857,0.440
5.3080,1.000,1394.614,1393.531,0.541,-3.066,0.440
5.4044,-0.000,1378.063,1409.029,-15.483,-15.490,0.440
5.5007,-0.000,1391.410,1397.788,-3.189,-3.196,0.440
5.6081,-0.000,1394.841,1396.146,-0.652,-0.660,0.440
5.7051,-1.000,1375.711,1412.898,-18.593,-14.993,0.440
5.8017,-1.000,1388.092,1401.494,-6.701,-3.094,0.440
5.9097,-1.000,1390.956,1399.462,-4.253,-0.638,0.440
6.0086,-1.000,1391.809,1399.316,-3.753,-0.132,0.440
6.1064,-2.000,1371.792,1416.033,-22.120,-14.884,0.440
6.2047,-2.000,1383.689,1404.332,-10.322,-3.071,0.440
6.3051,-3.000,1365.781,1418.507,-26.363,-15.491,0.440
6.4043,-4.000,1357.552,1422.661,-32.554,-18.054,0.440
6.5028,-5.000,1351.206,1424.645,-36.719,-18.583,0.440
6.6011,-6.000,1345.150,1426.093,-40.472,-18.692,0.440
6.7090,-6.000,1359.483,1410.843,-25.680,-3.857,0.440
6.8080,-7.000,1341.697,1423.950,-41.127,-15.653,0.440
6.9073,-7.000,1353.580,1411.088,-28.754,-3.230,0.440
7.0069,-8.000,1335.264,1424.674,-44.705,-15.524,0.440
