time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0001,-23.000,-776.254,823.746,-800.000,-1048.800,0.460
0.0543,-23.000,-283.400,375.462,-329.431,-242.031,0.460
0.1532,-22.000,-54.841,188.989,-121.915,-38.315,0.460
0.2519,-22.000,-5.381,179.503,-92.442,-8.842,0.460
0.3509,-21.000,41.849,170.453,-64.302,15.498,0.460
0.4479,-21.000,50.694,203.141,-76.224,3.576,0.460
0.5454,-21.000,69.413,227.362,-78.975,0.825,0.460
0.6429,-20.000,111.061,227.603,-58.271,17.729,0.460
0.7489,-20.000,120.546,264.364,-71.909,4.091,0.460
0.8460,-19.000,160.942,268.666,-53.862,18.483,0.460
0.9530,-19.000,170.897,307.344,-68.224,4.265,0.460
1.0513,-18.000,212.181,312.787,-50.303,18.523,0.460
1.1473,-17.000,243.196,329.880,-43.342,21.813,0.460
1.2456,-17.000,252.053,372.554,-60.250,5.034,0.460
1.3432,-16.000,293.993,379.804,-42.906,18.700,0.460
1.4517,-15.000,325.934,398.065,-36.066,21.854,0.460
1.5489,-14.000,355.886,419.174,-31.644,22.582,0.460
1.6456,-13.000,385.651,441.201,-27.775,22.750,0.460
1.7425,-12.000,415.604,463.659,-24.028,22.788,0.460
1.8522,-11.000,445.799,486.404,-20.302,22.797,0.460
1.9485,-10.000,476.219,509.372,-16.576,22.799,0.460
2.0458,-9.000,506.836,532.524,-12.844,22.800,0.460
2.1448,-7.000,557.843,533.361,12.241,40.338,0.460
2.2428,-6.000,575.834,570.825,2.505,26.847,0.460
2.3429,-5.000,604.247,597.940,3.153,23.734,0.460
2.4506,-4.000,635.092,622.683,6.204,23.016,0.460
2.5479,-3.000,666.523,646.891,9.816,22.850,0.460
2.6449,-2.000,698.110,670.986,13.562,22.811,0.460
2.7530,-1.000,729.754,695.062,17.346,22.803,0.460
2.8508,-0.000,761.427,719.140,21.144,22.801,0.460
2.9495,1.000,792.373,742.472,24.951,22.800,0.460
3.0472,2.000,822.701,765.169,28.766,22.800,0.460
3.1451,4.000,871.976,764.106,53.935,40.338,0.460
3.2515,5.000,887.757,799.194,44.282,26.847,0.460
3.3494,5.000,894.082,846.746,23.668,6.196,0.460
3.4478,7.000,955.015,831.750,61.632,36.507,0.460
3.5464,7.000,953.328,886.121,33.603,8.425,0.460
3.6420,8.000,992.583,895.538,48.522,19.483,0.460
3.7468,10.000,1042.604,890.027,76.289,39.573,0.460
3.8471,10.000,1037.976,946.129,45.924,9.132,0.460
3.9448,11.000,1076.194,955.552,60.321,19.646,0.460
