time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-13.000,-618.474,665.966,-642.220,-592.800,0.460
0.0657,-13.000,-140.288,232.349,-186.319,-136.800,0.460
0.1720,-13.000,-13.831,148.542,-81.187,-31.569,0.460
0.2673,-13.000,32.300,146.302,-57.001,-7.285,0.460
0.3665,-12.000,80.500,140.800,-30.150,15.857,0.460
0.4744,-12.000,91.676,176.555,-42.439,3.659,0.460
0.5706,-12.000,112.536,203.227,-45.345,0.844,0.460
0.6678,-12.000,135.816,227.988,-46.086,0.195,0.460
0.7650,-12.000,159.812,252.467,-46.327,0.045,0.460
0.8740,-12.000,184.108,277.014,-46.453,0.010,0.460
0.9689,-12.000,208.587,301.691,-46.552,0.002,0.460
1.0659,-13.000,209.983,345.966,-67.991,-17.538,0.460
1.1639,-13.000,248.106,357.304,-54.599,-4.047,0.460
1.2722,-13.000,275.960,379.130,-51.585,-0.934,0.460
1.3724,-13.000,301.514,403.445,-50.965,-0.216,0.460
1.4699,-13.000,326.595,428.391,-50.898,-0.050,0.460
1.5697,-14.000,328.395,473.004,-72.305,-17.550,0.460
1.6668,-14.000,366.833,484.656,-58.911,-4.050,0.460
1.7638,-15.000,371.729,526.226,-77.248,-18.473,0.460
1.8730,-15.000,410.893,537.198,-63.152,-4.263,0.460
1.9714,-15.000,439.186,559.160,-59.987,-0.984,0.460
2.0691,-16.000,441.786,603.167,-80.690,-17.765,0.460
2.1669,-16.000,480.457,614.750,-67.146,-4.100,0.460
2.2648,-16.000,508.667,636.896,-64.114,-0.946,0.460
2.3708,-16.000,534.494,661.510,-63.508,-0.218,0.460
2.4713,-17.000,536.577,706.193,-84.808,-17.589,0.460
2.5684,-17.000,575.172,717.987,-71.407,-4.059,0.460
2.6646,-18.000,580.180,759.700,-89.760,-18.475,0.460
2.7731,-18.000,619.431,770.801,-75.685,-4.263,0.460
2.8713,-18.000,647.793,792.878,-72.542,-0.984,0.460
2.9709,-18.000,673.669,817.514,-71.922,-0.227,0.460
