time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,13.000,599.608,-552.116,575.862,529.043,0.440
0.0208,13.000,297.926,-205.865,251.895,205.038,0.440
0.1178,13.000,156.811,-21.710,89.260,42.309,0.440
0.2163,13.000,145.437,33.887,55.775,8.731,0.440
0.3270,12.000,141.611,80.661,30.475,-13.056,0.440
0.4249,12.000,175.632,93.786,40.923,-2.694,0.440
0.5211,12.000,201.714,115.418,43.148,-0.556,0.440
0.6187,12.000,226.339,138.989,43.675,-0.115,0.440
0.7159,12.000,250.820,163.114,43.853,-0.024,0.440
0.8224,12.000,275.402,187.486,43.958,-0.005,0.440
0.9176,12.000,300.118,212.021,44.048,-0.001,0.440
1.0176,12.000,324.956,236.686,44.135,-0.000,0.440
1.1240,12.000,349.901,261.457,44.222,-0.000,0.440
1.2210,12.000,374.937,286.320,44.308,-0.000,0.440
1.3188,12.000,400.050,311.260,44.395,-0.000,0.440
1.4189,12.000,425.229,336.266,44.481,-0.000,0.440
1.5167,12.000,450.463,361.328,44.568,-0.000,0.440
1.6244,12.000,475.745,386.438,44.654,-0.000,0.440
1.7203,11.000,481.464,428.912,26.276,-14.857,0.440
1.8175,11.000,519.136,442.842,38.147,-3.066,0.440
1.9250,12.000,564.003,445.757,59.123,14.225,0.440
2.0235,12.000,578.427,482.586,47.920,2.935,0.440
2.1219,13.000,618.391,490.108,64.142,15.463,0.440
2.2205,13.000,631.714,527.787,51.963,3.191,0.440
2.3184,13.000,654.770,555.722,49.524,0.658,0.440
2.4168,13.000,679.832,581.642,49.095,0.136,0.440
2.5145,13.000,705.305,607.143,49.081,0.028,0.440
2.6246,13.000,730.860,632.555,49.153,0.006,0.440
2.7229,13.000,756.430,657.947,49.242,0.001,0.440
2.8199,13.000,782.001,683.333,49.334,0.000,0.440
2.9176,13.000,807.571,708.716,49.428,0.000,0.440
3.0158,14.000,849.744,713.773,67.986,14.857,0.440
3.1244,14.000,863.445,750.855,56.295,3.066,0.440
3.2216,13.000,866.912,795.915,35.498,-14.225,0.440
3.3193,13.000,904.238,810.476,46.881,-2.935,0.440
3.4170,12.000,912.928,851.248,30.840,-15.463,0.440
3.5144,11.000,932.024,882.556,24.734,-18.048,0.440
3.6235,10.000,953.564,912.218,20.673,-18.581,0.440
3.7208,9.000,975.859,941.804,17.027,-18.691,0.440
3.8189,8.000,998.523,971.598,13.462,-18.714,0.440
3.9163,7.000,1021.443,1001.627,9.908,-18.719,0.440
4.0235,6.000,1044.569,1031.868,6.350,-18.720,0.440
4.1211,5.000,1067.865,1062.293,2.786,-18.720,0.440
4.2184,4.000,1091.305,1092.875,-0.785,-18.720,0.440
4.3168,3.000,1114.865,1123.593,-4.364,-18.720,0.440
4.4153,2.000,1138.528,1154.426,-7.949,-18.720,0.440
4.5134,2.000,1181.880,1168.035,6.922,-3.863,0.440
4.6226,1.000,1193.384,1210.307,-8.462,-15.654,0.440
4.7204,1.000,1233.989,1226.051,3.969,-3.230,0.440
4.8160,-0.000,1244.724,1268.572,-11.924,-15.524,0.440
4.9242,-1.000,1264.674,1300.810,-18.068,-18.060,0.440
5.0134,-1.000,1306.500,1313.983,-3.742,-3.727,0.440
5.1133,-2.000,1316.320,1354.831,-19.255,-15.626,0.440
5.2243,-3.000,1335.237,1385.902,-25.332,-18.082,0.440
5.3214,-4.000,1355.806,1414.742,-29.468,-18.588,0.440
5.4188,-4.000,1371.383,1400.871,-14.744,-3.836,0.440
5.5154,-5.000,1354.800,1415.186,-30.193,-15.649,0.440
5.6219,-6.000,1347.395,1419.943,-36.274,-18.086,0.440
5.7171,-7.000,1341.756,1422.610,-40.427,-18.589,0.440
5.8146,-7.000,1356.696,1408.145,-25.724,-3.836,0.440
5.9152,-8.000,1339.567,1421.957,-41.195,-15.649,0.440
6.0232,-8.000,1352.020,1409.685,-28.833,-3.229,0.440
6.1187,-9.000,1334.277,1423.861,-44.792,-15.523,0.440
6.2160,-9.000,1346.517,1411.590,-32.536,-3.203,0.440
6.3139,-9.000,1348.981,1409.099,-30.059,-0.661,0.440
6.4222,-10.000,1329.105,1425.232,-48.064,-14.994,0.440
6.5201,-10.000,1340.842,1413.314,-36.236,-3.094,0.440
6.6173,-10.000,1343.149,1410.854,-33.852,-0.638,0.440
6.7164,-11.000,1323.194,1426.958,-51.882,-14.989,0.440
6.8132,-12.000,1314.549,1431.609,-58.530,-17.950,0.440
6.9216,-12.000,1328.512,1417.252,-44.370,-3.704,0.440
7.0178,-12.000,1331.198,1414.231,-41.517,-0.764,0.440
7.1157,-12.000,1331.575,1413.568,-40.997,-0.158,0.440
7.2126,-12.000,1331.493,1413.409,-40.958,-0.033,0.440
7.3211,-12.000,1331.330,1413.366,-41.018,-0.007,0.440
7.4187,-11.000,1348.485,1393.755,-22.635,14.856,0.440
7.5151,-11.000,1337.072,1406.082,-34.505,3.065,0.440
7.6211,-11.000,1334.949,1408.982,-37.017,0.633,0.440
7.7183,-11.000,1334.697,1409.893,-37.598,0.131,0.440
7.8151,-11.000,1334.795,1410.356,-37.781,0.027,0.440
7.9131,-10.000,1352.257,1391.091,-19.417,14.863,0.440
8.0199,-10.000,1341.123,1403.692,-31.285,3.067,0.440
8.1179,-10.000,1339.240,1406.822,-33.791,0.633,0.440
8.2142,-9.000,1356.520,1388.322,-15.901,14.988,0.440
8.3210,-8.000,1362.866,1381.659,-9.396,17.950,0.440
8.4174,-7.000,1367.253,1377.723,-5.235,18.561,0.440
8.5153,-6.000,1371.487,1374.592,-1.552,18.687,0.440
