time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-7.000,-221.262,268.754,-245.008,-224.000,0.420
0.0440,-7.000,-44.538,138.226,-91.382,-70.337,0.420
0.1393,-7.000,29.113,111.480,-41.183,-20.096,0.420
0.2415,-6.000,82.775,103.076,-10.151,7.973,0.420
0.3390,-6.000,101.599,133.362,-15.881,2.278,0.420
0.4376,-6.000,124.628,159.716,-17.544,0.651,0.420
0.5374,-6.000,148.934,185.024,-18.045,0.186,0.420
0.6378,-6.000,173.671,210.099,-18.214,0.053,0.420
0.7385,-6.000,198.587,235.163,-18.288,0.015,0.420
0.8376,-6.000,223.601,260.271,-18.335,0.004,0.420
0.9346,-7.000,230.089,300.277,-35.094,-13.713,0.420
1.0426,-7.000,264.921,315.603,-25.341,-3.918,0.420
1.1410,-7.000,292.815,337.984,-22.585,-1.119,0.420
1.2408,-8.000,300.163,377.258,-38.547,-14.034,0.420
1.3425,-8.000,335.274,392.416,-28.571,-4.010,0.420
1.4421,-9.000,344.679,429.629,-42.475,-14.860,0.420
1.5388,-9.000,380.371,444.201,-31.915,-4.246,0.420
1.6392,-10.000,389.937,481.250,-45.656,-14.927,0.420
1.7383,-11.000,407.075,510.623,-51.774,-17.979,0.420
1.8372,-11.000,444.938,522.934,-38.998,-5.137,0.420
1.9372,-12.000,455.090,559.320,-52.115,-15.182,0.420
2.0351,-12.000,490.960,573.646,-41.343,-4.338,0.420
2.1423,-13.000,500.545,610.618,-55.037,-14.954,0.420
2.2398,-13.000,536.254,625.121,-44.434,-4.272,0.420
2.3362,-14.000,545.793,662.153,-58.180,-14.935,0.420
2.4362,-14.000,581.488,676.681,-47.596,-4.267,0.420
2.5342,-14.000,609.617,698.882,-44.632,-1.219,0.420
2.6340,-14.000,635.614,723.305,-43.845,-0.348,0.420
2.7430,-14.000,661.027,748.388,-43.681,-0.100,0.420
2.8409,-14.000,686.295,773.682,-43.694,-0.028,0.420
2.9399,-14.000,711.539,799.054,-43.757,-0.008,0.420
3.0379,-14.000,736.793,824.464,-43.835,-0.002,0.420
3.1353,-14.000,762.062,849.898,-43.918,-0.001,0.420
3.2400,-14.000,787.347,875.350,-44.001,-0.000,0.420
3.3389,-14.000,812.646,900.817,-44.085,-0.000,0.420
3.4381,-14.000,837.958,926.296,-44.169,-0.000,0.420
3.5351,-13.000,878.875,933.940,-27.533,13.714,0.420
3.6350,-13.000,894.959,969.773,-37.407,3.918,0.420
