time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,15.000,535.859,-506.177,521.018,476.000,0.320
0.0545,15.000,191.824,-134.286,163.055,117.947,0.320
0.1523,15.000,116.345,-32.503,74.424,29.226,0.320
0.2501,14.000,91.300,17.527,36.887,-5.395,0.320
0.3510,14.000,107.374,25.316,41.029,-1.337,0.320
0.4503,14.000,120.484,36.246,42.119,-0.331,0.320
0.5485,14.000,133.422,48.518,42.452,-0.082,0.320
0.6474,14.000,146.669,61.473,42.598,-0.020,0.320
0.7561,14.000,160.292,74.898,42.697,-0.005,0.320
0.8483,14.000,174.262,88.692,42.785,-0.001,0.320
0.9492,14.000,188.534,102.794,42.870,-0.000,0.320
1.0504,14.000,203.064,117.157,42.954,-0.000,0.320
1.1512,14.000,217.815,131.739,43.038,-0.000,0.320
1.2491,14.000,232.754,146.510,43.122,-0.000,0.320
1.3527,13.000,231.128,176.002,27.563,-12.637,0.320
1.4514,13.000,256.442,182.149,37.147,-3.131,0.320
1.5565,13.000,274.634,195.474,39.580,-0.776,0.320
1.6540,12.000,274.354,225.157,24.599,-12.829,0.320
1.7515,12.000,300.461,231.819,34.321,-3.179,0.320
1.8479,11.000,302.515,260.232,21.141,-13.425,0.320
1.9480,11.000,329.515,266.904,31.305,-3.327,0.320
2.0489,10.000,332.058,295.597,18.231,-13.461,0.320
2.1471,10.000,359.406,302.574,28.416,-3.336,0.320
2.2558,9.000,362.228,331.543,15.342,-13.464,0.320
2.3552,9.000,389.808,338.760,25.524,-3.336,0.320
2.4541,8.000,392.824,367.936,12.444,-13.464,0.320
2.5518,7.000,403.846,389.892,6.977,-15.973,0.320
2.6559,7.000,433.806,395.738,19.034,-3.958,0.320
2.7549,6.000,437.707,424.887,6.410,-13.618,0.320
2.8540,5.000,449.197,447.104,1.046,-16.012,0.320
2.9538,4.000,462.760,467.806,-2.523,-16.605,0.320
3.0449,3.000,477.002,488.305,-5.652,-16.752,0.320
3.1550,2.000,491.549,508.901,-8.676,-16.788,0.320
3.2519,1.000,506.290,529.648,-11.679,-16.797,0.320
3.3511,1.000,537.900,535.976,0.962,-4.162,0.320
3.4485,-0.000,542.825,565.914,-11.544,-13.668,0.320
3.5493,-1.000,554.247,588.059,-16.906,-16.024,0.320
3.6485,-2.000,566.885,607.888,-20.502,-16.608,0.320
3.7465,-3.000,579.488,626.817,-23.664,-16.752,0.320
3.8461,-5.000,574.234,658.968,-42.367,-29.425,0.320
3.9470,-6.000,595.593,667.406,-35.906,-19.928,0.320
4.0490,-8.000,591.972,696.449,-52.238,-30.212,0.320
4.1500,-9.000,613.279,703.685,-45.203,-20.123,0.320
4.2500,-10.000,626.817,718.344,-45.764,-17.624,0.320
4.3490,-12.000,620.758,748.464,-63.853,-29.641,0.320
