time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,13.000,599.608,-552.116,575.862,529.043,0.440
0.0529,13.000,202.111,-110.049,156.080,109.168,0.440
0.1510,13.000,137.083,-1.982,69.533,22.527,0.440
0.2471,12.000,121.805,55.238,33.284,-10.209,0.440
0.3442,12.000,153.139,70.195,41.472,-2.107,0.440
0.4510,12.000,178.391,91.930,43.230,-0.435,0.440
0.5517,12.000,202.611,115.288,43.662,-0.090,0.440
0.6514,12.000,226.809,139.171,43.819,-0.019,0.440
0.7466,12.000,251.165,163.324,43.921,-0.004,0.440
0.8560,12.000,275.690,187.670,44.010,-0.001,0.440
0.9532,12.000,300.367,212.173,44.097,-0.000,0.440
1.0520,12.000,325.175,236.808,44.183,-0.000,0.440
1.1488,11.000,330.490,278.878,25.806,-14.857,0.440
1.2467,11.000,367.819,292.466,37.676,-3.066,0.440
1.3457,11.000,395.791,315.414,40.189,-0.633,0.440
1.4542,10.000,402.228,357.617,22.305,-14.988,0.440
1.5487,10.000,440.187,371.642,34.272,-3.093,0.440
1.6447,9.000,449.022,412.353,18.335,-15.495,0.440
1.7518,8.000,468.157,443.691,12.233,-18.055,0.440
1.8478,7.000,489.710,473.400,8.155,-18.583,0.440
1.9448,6.000,512.010,503.032,4.489,-18.692,0.440
2.0530,5.000,534.675,532.869,0.903,-18.714,0.440
2.1511,4.000,557.592,562.938,-2.673,-18.719,0.440
2.2491,3.000,580.711,593.216,-6.252,-18.720,0.440
2.3462,3.000,623.603,606.351,8.626,-3.863,0.440
2.4433,2.000,634.718,648.219,-6.751,-15.654,0.440
2.5500,1.000,655.389,680.942,-12.777,-18.087,0.440
2.6482,-0.000,678.159,711.917,-16.879,-18.589,0.440
2.7453,-1.000,700.750,741.929,-20.590,-18.693,0.440
2.8530,-3.000,702.606,787.985,-42.690,-33.572,0.440
2.9511,-5.000,715.762,821.753,-52.996,-36.642,0.440
3.0490,-7.000,730.920,852.680,-60.880,-37.275,0.440
3.1456,-9.000,746.211,882.761,-68.275,-37.406,0.440
3.2431,-11.000,761.287,912.450,-75.581,-37.433,0.440
3.3510,-14.000,755.789,958.479,-101.345,-52.296,0.440
3.4491,-16.000,782.089,975.829,-96.870,-40.505,0.440
3.5467,-17.000,819.167,985.772,-83.302,-23.215,0.440
3.6524,-19.000,822.125,1025.982,-101.928,-34.505,0.440
3.7501,-21.000,834.042,1056.958,-111.458,-36.834,0.440
3.8497,-23.000,847.690,1085.968,-119.139,-37.315,0.440
3.9493,-25.000,861.620,1114.496,-126.438,-37.414,0.440
4.0474,-26.000,895.862,1126.264,-115.201,-22.578,0.440
4.1449,-27.000,918.337,1149.816,-115.740,-19.516,0.440
4.2530,-28.000,938.390,1175.806,-118.708,-18.884,0.440
4.3501,-29.000,957.948,1202.303,-122.178,-18.754,0.440
4.4489,-29.000,997.726,1212.313,-107.294,-3.870,0.440
4.5480,-29.000,1025.776,1234.221,-104.222,-0.799,0.440
4.6460,-29.000,1051.462,1258.639,-103.588,-0.165,0.440
4.7433,-29.000,1076.707,1283.622,-103.458,-0.034,0.440
4.8430,-29.000,1101.900,1308.762,-103.431,-0.007,0.440
4.9529,-29.000,1127.117,1333.967,-103.425,-0.001,0.440
5.0510,-29.000,1152.367,1359.215,-103.424,-0.000,0.440
5.1511,-29.000,1177.649,1384.497,-103.424,-0.000,0.440
5.2487,-28.000,1220.276,1390.209,-84.967,14.857,0.440
5.3460,-28.000,1234.348,1427.864,-96.758,3.066,0.440
5.4432,-27.000,1249.571,1411.038,-80.734,15.490,0.440
5.5510,-27.000,1238.096,1424.151,-93.027,3.196,0.440
5.6481,-26.000,1253.573,1407.787,-77.107,15.517,0.440
5.7451,-25.000,1259.698,1401.627,-70.965,18.059,0.440
5.8425,-24.000,1264.168,1397.848,-66.840,18.584,0.440
5.9505,-23.000,1268.529,1394.793,-63.132,18.692,0.440
6.0484,-21.000,1290.384,1372.489,-41.052,33.571,0.440
6.1453,-20.000,1283.867,1382.345,-49.239,21.785,0.440
6.2440,-19.000,1286.677,1383.093,-48.208,19.352,0.440
6.3496,-18.000,1291.517,1381.996,-45.240,18.850,0.440
6.4508,-18.000,1279.518,1400.178,-60.330,3.890,0.440
6.5478,-17.000,1296.253,1386.418,-45.082,15.660,0.440
6.6473,-16.000,1303.791,1382.129,-39.169,18.089,0.440
6.7470,-16.000,1292.201,1399.481,-53.640,3.733,0.440
6.8440,-15.000,1308.896,1385.402,-38.253,15.627,0.440
6.9523,-15.000,1298.998,1400.525,-50.764,3.225,0.440
7.0500,-14.000,1315.875,1385.809,-34.967,15.523,0.440
7.1490,-12.000,1340.522,1361.439,-10.458,32.917,0.440
7.2475,-11.000,1334.753,1371.163,-18.205,21.650,0.440
7.3468,-10.000,1337.997,1372.001,-17.002,19.325,0.440
7.4428,-9.000,1343.147,1371.041,-13.947,18.845,0.440
7.5510,-8.000,1348.731,1369.738,-10.504,18.746,0.440
7.6498,-7.000,1354.440,1368.388,-6.974,18.725,0.440
7.7468,-7.000,1342.881,1386.653,-21.886,3.864,0.440
7.8447,-6.000,1359.938,1373.015,-6.539,15.654,0.440
7.9416,-5.000,1367.748,1368.831,-0.542,18.087,0.440
8.0498,-4.000,1373.722,1366.659,3.531,18.589,0.440
8.1461,-2.000,1396.705,1345.349,25.678,33.550,0.440
8.2448,-1.000,1391.098,1356.097,17.501,21.780,0.440
8.3439,-0.000,1394.814,1357.471,18.672,19.351,0.440
8.4423,1.000,1399.724,1356.168,21.778,18.850,0.440
8.5508,3.000,1421.012,1333.506,43.753,33.604,0.440
8.6487,4.000,1413.384,1342.245,35.569,21.791,0.440
8.7485,7.000,1447.904,1300.511,73.696,49.068,0.440
8.8454,8.000,1427.049,1320.513,53.268,24.982,0.440
8.9428,9.000,1425.021,1321.095,51.963,20.012,0.440
9.0506,10.000,1426.694,1317.475,54.609,18.987,0.440
9.1472,10.000,1412.369,1333.144,39.613,3.918,0.440
9.2448,9.000,1390.298,1354.077,18.111,-14.049,0.440
9.3427,9.000,1402.530,1343.879,29.325,-2.899,0.440
9.4507,9.000,1405.759,1342.377,31.691,-0.598,0.440
9.5473,9.000,1407.033,1342.572,32.230,-0.123,0.440
