time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0004,-24.000,-812.011,841.693,-826.852,-759.652,0.320
0.0229,-24.000,-316.264,373.802,-345.033,-277.833,0.320
0.1236,-24.000,-82.610,166.452,-124.531,-57.331,0.320
0.2211,-24.000,-24.617,133.443,-79.030,-11.830,0.320
0.3200,-23.000,11.059,121.630,-55.286,9.114,0.320
0.4165,-23.000,15.280,140.319,-62.519,1.881,0.320
0.5151,-23.000,24.837,152.861,-64.012,0.388,0.320
0.6240,-22.000,49.590,149.518,-49.964,11.636,0.320
0.7205,-22.000,51.196,169.594,-59.199,2.401,0.320
0.8207,-22.000,60.893,183.102,-61.105,0.495,0.320
0.9187,-22.000,72.749,195.744,-61.498,0.102,0.320
1.0177,-21.000,98.742,193.189,-47.223,11.577,0.320
1.1258,-21.000,103.403,216.225,-56.411,2.389,0.320
1.2229,-20.000,128.941,216.844,-43.952,12.048,0.320
1.3229,-20.000,134.383,241.411,-53.514,2.486,0.320
1.4230,-19.000,160.720,243.196,-41.238,12.069,0.320
1.5220,-19.000,166.874,268.719,-50.922,2.490,0.320
1.6231,-18.000,193.923,271.212,-38.644,12.069,0.320
1.7222,-18.000,200.686,297.333,-48.324,2.491,0.320
1.8206,-17.000,228.253,300.333,-36.040,12.069,0.320
1.9205,-17.000,235.457,326.885,-45.714,2.491,0.320
2.0181,-16.000,263.400,330.250,-33.425,12.069,0.320
2.1191,-16.000,270.924,357.111,-43.093,2.491,0.320
2.2209,-15.000,299.141,360.738,-30.799,12.069,0.320
2.3196,-14.000,320.179,372.380,-26.100,14.046,0.320
2.4210,-13.000,340.011,385.941,-22.965,14.454,0.320
2.5207,-12.000,359.828,400.124,-20.148,14.538,0.320
2.6220,-11.000,379.840,414.625,-17.393,14.555,0.320
2.7230,-10.000,400.064,429.353,-14.645,14.559,0.320
2.8219,-9.000,420.476,444.265,-11.895,14.560,0.320
2.9231,-8.000,441.051,459.329,-9.139,14.560,0.320
3.0221,-7.000,461.766,474.522,-6.378,14.560,0.320
3.1230,-6.000,482.600,489.824,-3.612,14.560,0.320
3.2239,-5.000,503.538,505.218,-0.840,14.560,0.320
3.3218,-4.000,524.563,520.688,1.938,14.560,0.320
3.4199,-3.000,545.665,536.223,4.721,14.560,0.320
3.5153,-2.000,566.831,551.812,7.510,14.560,0.320
3.6229,-0.000,601.335,552.005,24.665,26.116,0.320
3.7219,1.000,613.183,576.584,18.300,16.944,0.320
3.8219,2.000,631.550,593.114,19.218,15.052,0.320
3.9208,3.000,650.775,607.486,21.645,14.662,0.320
4.0219,3.000,657.322,637.272,10.025,3.025,0.320
4.1129,4.000,685.208,641.203,22.002,12.180,0.320
4.2141,4.000,692.973,668.257,12.358,2.513,0.320
4.3151,5.000,720.628,671.134,24.747,12.074,0.320
4.4169,5.000,727.936,697.552,15.192,2.491,0.320
4.5139,4.000,727.267,729.503,-1.118,-11.041,0.320
4.6163,4.000,753.234,737.900,7.667,-2.278,0.320
4.7134,4.000,772.057,753.061,9.498,-0.470,0.320
4.8228,4.000,789.283,769.496,9.893,-0.097,0.320
4.9140,4.000,806.076,786.090,9.993,-0.020,0.320
5.0217,4.000,822.691,802.629,10.031,-0.004,0.320
5.1221,4.000,839.194,819.081,10.057,-0.001,0.320
5.2220,4.000,855.610,835.451,10.080,-0.000,0.320
5.3222,4.000,871.954,851.750,10.102,-0.000,0.320
5.4219,4.000,888.237,867.988,10.125,-0.000,0.320
5.5190,5.000,916.910,867.893,24.508,11.556,0.320
5.6212,5.000,923.800,893.069,15.365,2.384,0.320
5.7185,5.000,937.951,910.949,13.501,0.492,0.320
5.8200,6.000,966.029,911.030,27.499,11.657,0.320
5.9198,6.000,972.667,936.104,18.281,2.405,0.320
6.0214,6.000,986.656,953.844,16.406,0.496,0.320
