time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,21.000,385.254,-337.762,361.508,330.000,0.200
0.0856,21.000,137.086,-45.025,91.055,59.508,0.200
0.1881,21.000,109.391,24.756,42.318,10.731,0.200
0.2809,20.000,113.711,60.412,26.649,-3.475,0.200
0.3847,20.000,135.686,76.616,29.535,-0.627,0.200
0.4803,20.000,155.878,95.706,30.086,-0.113,0.200
0.5844,20.000,176.523,116.090,30.216,-0.020,0.200
0.6894,20.000,197.834,137.293,30.270,-0.004,0.200
0.7861,20.000,219.762,159.140,30.311,-0.001,0.200
0.8817,20.000,242.225,181.527,30.349,-0.000,0.200
0.9877,19.000,257.182,210.232,23.475,-5.410,0.200
1.0823,19.000,285.527,229.638,27.945,-0.976,0.200
1.1875,19.000,310.477,252.916,28.780,-0.176,0.200
1.2830,18.000,327.011,282.915,22.048,-5.442,0.200
1.3891,17.000,348.640,309.379,19.631,-6.391,0.200
1.4847,16.000,371.708,335.730,17.989,-6.562,0.200
1.5795,15.000,395.478,362.505,16.487,-6.593,0.200
1.6862,15.000,427.712,383.874,21.919,-1.189,0.200
1.7816,13.000,439.392,421.195,9.098,-11.034,0.200
1.8886,12.000,468.144,445.634,11.255,-7.400,0.200
1.9837,11.000,494.196,473.334,10.431,-6.744,0.200
2.0789,10.000,519.947,501.811,9.068,-6.626,0.200
2.1859,9.000,545.802,530.590,7.606,-6.605,0.200
2.2828,8.000,571.810,559.560,6.125,-6.601,0.200
2.3876,8.000,605.921,582.820,11.551,-1.190,0.200
2.4814,7.000,601.688,590.428,5.630,-5.624,0.200
2.5864,7.000,609.245,588.739,10.253,-1.014,0.200
2.6801,6.000,604.622,596.251,4.186,-5.593,0.200
2.7830,6.000,611.945,594.383,8.781,-1.009,0.200
2.8866,5.000,607.140,601.725,2.707,-5.592,0.200
2.9816,5.000,614.311,599.711,7.300,-1.008,0.200
3.0893,4.000,609.376,606.928,1.224,-5.592,0.200
3.1842,3.000,608.476,610.669,-1.097,-6.418,0.200
3.2824,2.000,608.488,613.971,-2.742,-6.567,0.200
3.3796,1.000,608.821,617.355,-4.267,-6.594,0.200
3.4858,-0.000,609.346,620.890,-5.772,-6.599,0.200
3.5810,-2.000,600.257,628.629,-14.186,-12.010,0.200
3.6858,-3.000,603.662,626.178,-11.258,-7.576,0.200
3.7825,-4.000,602.909,626.840,-11.966,-6.776,0.200
3.8886,-4.000,609.918,622.756,-6.419,-1.222,0.200
3.9845,-5.000,603.293,627.966,-12.337,-5.630,0.200
4.0788,-5.000,608.797,624.259,-7.731,-1.015,0.200
4.1851,-5.000,610.383,624.200,-6.908,-0.183,0.200
4.2811,-5.000,611.173,624.709,-6.768,-0.033,0.200
4.3868,-5.000,611.743,625.243,-6.750,-0.006,0.200
4.4827,-5.000,612.208,625.717,-6.754,-0.001,0.200
4.5808,-5.000,612.598,626.124,-6.763,-0.000,0.200
4.6880,-4.000,618.789,618.510,0.140,5.410,0.200
4.7836,-5.000,606.381,628.809,-11.214,-4.434,0.200
4.8802,-5.000,610.610,625.788,-7.589,-0.800,0.200
4.9866,-5.000,611.770,625.655,-6.943,-0.144,0.200
5.0834,-6.000,603.453,630.944,-13.745,-5.436,0.200
5.1805,-7.000,599.249,631.675,-16.213,-6.390,0.200
5.2863,-8.000,595.636,631.435,-17.900,-6.562,0.200
5.3840,-9.000,592.000,630.896,-19.448,-6.593,0.200
5.4806,-9.000,597.114,625.234,-14.060,-1.189,0.200
5.5800,-11.000,580.115,633.967,-26.926,-11.034,0.200
5.6852,-12.000,579.764,629.392,-24.814,-7.400,0.200
5.7794,-13.000,576.351,627.717,-25.683,-6.744,0.200
5.8855,-14.000,572.331,626.513,-27.091,-6.626,0.200
5.9804,-14.000,577.016,620.388,-21.686,-1.195,0.200
6.0847,-14.000,577.356,618.823,-20.733,-0.215,0.200
6.1798,-15.000,568.125,623.114,-27.495,-5.449,0.200
6.2867,-15.000,571.963,618.076,-23.057,-0.983,0.200
6.3812,-15.000,572.230,616.789,-22.279,-0.177,0.200
6.4872,-14.000,577.776,608.277,-15.250,5.378,0.200
6.5845,-13.000,579.442,604.988,-12.773,6.380,0.200
6.6788,-13.000,574.999,611.053,-18.027,1.150,0.200
6.7841,-12.000,580.583,604.748,-12.082,5.617,0.200
6.8791,-11.000,583.011,602.606,-9.797,6.423,0.200
6.9862,-10.000,585.209,601.551,-8.171,6.568,0.200
7.0809,-9.000,587.655,600.978,-6.662,6.594,0.200
7.1770,-9.000,584.528,608.695,-12.084,1.189,0.200
7.2830,-7.000,597.211,595.715,0.748,11.034,0.200
7.3782,-6.000,596.889,599.684,-1.398,7.400,0.200
7.4855,-5.000,599.724,600.849,-0.562,6.744,0.200
7.5837,-4.000,603.249,601.625,0.812,6.626,0.200
7.6788,-2.000,612.861,594.468,9.197,12.015,0.200
7.7837,-2.000,607.053,608.363,-0.655,2.167,0.200
7.8783,-0.000,620.433,597.656,11.389,11.210,0.200
7.9852,2.000,625.304,593.257,16.023,12.841,0.200
8.0821,4.000,627.907,589.257,19.325,13.135,0.200
8.1777,4.000,619.554,602.422,8.566,2.369,0.200
8.2837,2.000,603.741,618.124,-7.192,-10.393,0.200
8.3802,1.000,607.255,618.417,-5.581,-7.284,0.200
8.4783,1.000,616.345,615.562,0.391,-1.313,0.200
8.5838,-0.000,612.111,622.995,-5.442,-5.647,0.200
8.6810,-2.000,601.877,631.150,-14.637,-11.838,0.200
8.7856,-4.000,595.969,633.490,-18.761,-12.954,0.200
8.8806,-7.000,581.478,639.248,-28.885,-18.566,0.200
8.9865,-11.000,562.024,644.679,-41.327,-24.987,0.200
9.0808,-16.000,538.217,649.067,-55.425,-31.555,0.200
9.1781,-21.000,518.990,647.288,-64.149,-32.739,0.200
9.2822,-25.000,508.911,638.911,-65.000,-27.543,0.200
9.3777,-28.000,503.012,629.423,-63.205,-21.196,0.200
9.4840,-29.000,509.432,615.023,-52.795,-9.232,0.200
9.5798,-30.000,506.249,610.525,-52.138,-7.075,0.200
9.6856,-31.000,501.423,607.921,-53.249,-6.686,0.200
9.7822,-33.000,487.525,610.703,-61.589,-12.025,0.200
9.8783,-34.000,486.798,604.082,-58.642,-7.578,0.200
9.9846,-36.000,473.667,606.167,-66.250,-12.186,0.200
10.0815,-37.000,473.102,599.443,-63.171,-7.607,0.200
10.1790,-37.000,477.739,591.610,-56.935,-1.372,0.200
10.2836,-37.000,477.506,589.127,-55.811,-0.247,0.200
10.3789,-38.000,467.694,592.730,-62.518,-5.454,0.200
10.4842,-38.000,471.026,587.120,-58.047,-0.984,0.200
10.5793,-38.000,470.865,585.346,-57.241,-0.177,0.200
10.6843,-38.000,470.187,584.378,-57.095,-0.032,0.200
10.7803,-38.000,469.514,583.652,-57.069,-0.006,0.200
10.8758,-38.000,468.924,583.053,-57.064,-0.001,0.200
10.9822,-38.000,468.420,582.547,-57.064,-0.000,0.200
11.0785,-38.000,467.991,582.117,-57.063,-0.000,0.200
11.1754,-38.000,467.626,581.752,-57.063,-0.000,0.200
11.2827,-38.000,467.315,581.442,-57.063,-0.000,0.200
11.3784,-38.000,467.052,581.178,-57.063,-0.000,0.200
11.4864,-38.000,466.827,580.954,-57.063,-0.000,0.200
11.5836,-38.000,466.637,580.764,-57.063,-0.000,0.200
11.6796,-38.000,466.475,580.602,-57.063,-0.000,0.200
11.7752,-38.000,466.337,580.464,-57.063,-0.000,0.200
11.8820,-38.000,466.220,580.347,-57.063,-0.000,0.200
11.9771,-38.000,466.121,580.247,-57.063,-0.000,0.200
12.0833,-38.000,466.036,580.163,-57.063,-0.000,0.200
12.1773,-37.000,471.824,572.131,-50.154,5.410,0.200
12.2844,-38.000,459.076,582.072,-61.498,-4.434,0.200
12.3790,-37.000,468.878,570.784,-50.953,4.610,0.200
12.4754,-38.000,457.107,580.391,-61.642,-4.578,0.200
12.5819,-38.000,461.441,577.219,-57.889,-0.826,0.200
12.6786,-38.000,462.611,577.036,-57.212,-0.149,0.200
12.7845,-38.000,463.153,577.333,-57.090,-0.027,0.200
12.8811,-38.000,463.531,577.668,-57.068,-0.005,0.200
12.9774,-38.000,463.838,577.967,-57.064,-0.001,0.200
13.0836,-38.000,464.097,578.224,-57.064,-0.000,0.200
13.1800,-38.000,464.316,578.443,-57.063,-0.000,0.200
13.2751,-38.000,464.502,578.629,-57.063,-0.000,0.200
