time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0001,31.000,1014.841,-985.159,1000.000,981.217,0.320
0.0870,31.000,318.043,-260.504,289.273,202.473,0.320
0.1863,30.000,156.146,-72.304,114.225,30.225,0.320
0.2851,30.000,144.650,-35.824,90.237,6.237,0.320
0.3826,30.000,151.632,-18.942,85.287,1.287,0.320
0.4804,30.000,162.065,-6.466,84.266,0.266,0.320
0.5772,29.000,158.548,19.150,69.699,-11.501,0.320
0.6761,29.000,178.381,20.727,78.827,-2.373,0.320
0.7846,29.000,190.677,29.256,80.710,-0.490,0.320
0.8809,29.000,201.229,39.031,81.099,-0.101,0.320
0.9769,29.000,211.261,48.903,81.179,-0.021,0.320
1.0843,29.000,221.761,59.370,81.196,-0.004,0.320
1.1823,29.000,233.063,70.665,81.199,-0.001,0.320
1.2820,28.000,229.620,95.931,66.844,-11.556,0.320
1.3822,28.000,251.953,99.922,76.015,-2.385,0.320
1.4789,27.000,251.984,124.880,63.552,-12.048,0.320
1.5775,27.000,276.054,129.826,73.114,-2.486,0.320
1.6749,27.000,292.746,142.572,75.087,-0.513,0.320
1.7831,27.000,308.052,157.063,75.494,-0.106,0.320
1.8788,26.000,307.751,185.306,61.223,-11.577,0.320
1.9761,25.000,317.267,205.156,56.055,-13.945,0.320
2.0825,25.000,344.702,210.456,67.123,-2.877,0.320
2.1814,24.000,347.849,237.748,55.051,-12.149,0.320
2.2801,24.000,374.316,244.930,64.693,-2.507,0.320
2.3779,23.000,377.558,272.904,52.327,-12.073,0.320
2.4754,22.000,388.858,293.752,47.553,-14.047,0.320
2.5823,22.000,417.557,300.154,58.701,-2.899,0.320
2.6793,21.000,421.727,328.434,46.646,-12.154,0.320
2.7758,21.000,449.051,336.467,56.292,-2.508,0.320
2.8834,20.000,453.020,365.166,43.927,-12.073,0.320
2.9835,20.000,480.373,373.356,53.509,-2.491,0.320
3.0808,19.000,484.514,402.041,41.237,-12.070,0.320
3.1788,19.000,512.038,410.193,50.922,-2.491,0.320
3.2762,19.000,531.671,425.660,53.005,-0.514,0.320
3.3840,19.000,549.490,442.451,53.520,-0.106,0.320
3.4823,18.000,551.336,472.638,39.349,-11.577,0.320
3.5795,18.000,578.126,480.850,48.638,-2.389,0.320
3.6762,17.000,581.945,509.397,36.274,-12.049,0.320
3.7812,17.000,609.246,517.383,45.931,-2.486,0.320
3.8790,16.000,613.257,545.980,33.639,-12.069,0.320
