time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-0.000,25.465,25.465,0.000,0.000,0.200
0.0432,-0.000,50.930,50.930,0.000,0.000,0.200
0.1503,-0.000,76.394,76.394,0.000,0.000,0.200
0.2475,-0.000,101.859,101.859,0.000,0.000,0.200
0.3423,-0.000,127.324,127.324,0.000,0.000,0.200
0.4483,-0.000,152.789,152.789,0.000,0.000,0.200
0.5420,-0.000,178.254,178.254,0.000,0.000,0.200
0.6456,-0.000,203.718,203.718,0.000,0.000,0.200
0.7485,-0.000,229.183,229.183,0.000,0.000,0.200
0.8417,-0.000,254.648,254.648,0.000,0.000,0.200
0.9480,-0.000,280.113,280.113,0.000,0.000,0.200
1.0441,-0.000,305.578,305.578,0.000,0.000,0.200
1.1487,-0.000,331.043,331.043,0.000,0.000,0.200
1.2454,-0.000,356.507,356.507,0.000,0.000,0.200
1.3519,-1.000,373.110,386.934,-6.912,-5.410,0.200
1.4478,-1.000,402.850,407.809,-2.479,-0.976,0.200
1.5437,-1.000,428.979,432.342,-1.682,-0.176,0.200
1.6499,-2.000,445.611,462.512,-8.451,-5.442,0.200
1.7465,-2.000,475.278,483.266,-3.994,-0.981,0.200
1.8415,-2.000,501.327,507.715,-3.194,-0.177,0.200
1.9470,-3.000,517.888,537.816,-9.964,-5.442,0.200
2.0429,-4.000,538.632,563.474,-12.421,-6.391,0.200
2.1485,-5.000,560.042,588.246,-14.102,-6.562,0.200
2.2410,-6.000,581.497,612.784,-15.644,-6.593,0.200
2.3469,-6.000,611.757,632.259,-10.251,-1.189,0.200
2.4425,-7.000,603.350,635.749,-16.199,-5.624,0.200
2.5482,-8.000,598.496,635.524,-18.514,-6.424,0.200
2.6474,-9.000,594.227,634.577,-20.175,-6.568,0.200
2.7441,-10.000,590.015,633.454,-21.720,-6.594,0.200
2.8425,-11.000,585.772,632.263,-23.245,-6.599,0.200
2.9423,-12.000,581.489,631.026,-24.769,-6.600,0.200
3.0509,-13.000,577.169,629.755,-26.293,-6.600,0.200
3.1491,-14.000,572.817,628.455,-27.819,-6.600,0.200
3.2461,-15.000,568.436,627.131,-29.347,-6.600,0.200
