time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,6.000,229.579,-182.087,205.833,187.826,0.350
0.0219,6.000,152.304,-58.406,105.355,87.332,0.350
0.1186,6.000,112.367,28.614,41.877,23.818,0.350
0.2280,6.000,118.911,69.730,24.591,6.496,0.350
0.3264,6.000,138.299,98.494,19.902,1.772,0.350
0.4250,6.000,161.330,124.031,18.650,0.483,0.350
0.5249,6.000,185.476,148.807,18.335,0.132,0.350
0.6272,6.000,210.028,173.478,18.275,0.036,0.350
0.7249,6.000,234.777,198.208,18.285,0.010,0.350
0.8230,6.000,259.655,223.028,18.313,0.003,0.350
0.9195,6.000,284.629,247.935,18.347,0.001,0.350
1.0299,6.000,309.684,272.919,18.383,0.000,0.350
1.1267,6.000,334.807,297.969,18.419,0.000,0.350
1.2256,6.000,359.986,323.076,18.455,0.000,0.350
1.3235,6.000,385.213,348.231,18.491,0.000,0.350
1.4184,6.000,410.481,373.428,18.527,0.000,0.350
1.5254,6.000,435.784,398.659,18.563,0.000,0.350
1.6236,6.000,461.117,423.920,18.599,0.000,0.350
1.7228,6.000,486.475,449.206,18.635,0.000,0.350
1.8212,6.000,511.855,474.513,18.671,0.000,0.350
1.9280,6.000,537.252,499.839,18.707,0.000,0.350
2.0238,5.000,545.489,540.197,2.646,-13.091,0.350
2.1222,5.000,581.012,556.619,12.196,-3.570,0.350
2.2228,5.000,609.534,579.888,14.823,-0.974,0.350
2.3225,5.000,636.104,604.981,15.561,-0.266,0.350
2.4201,4.000,644.927,645.552,-0.313,-13.163,0.350
2.5286,4.000,680.836,662.266,9.285,-3.590,0.350
2.6257,3.000,692.478,700.833,-4.177,-14.070,0.350
2.7248,3.000,729.388,717.241,6.073,-3.837,0.350
2.8234,2.000,741.499,755.929,-7.215,-14.137,0.350
2.9207,1.000,761.525,787.561,-13.018,-16.947,0.350
3.0178,-0.000,783.954,817.522,-16.784,-17.713,0.350
3.1262,-0.000,824.421,832.225,-3.902,-4.831,0.350
3.2249,-1.000,837.185,870.156,-16.486,-14.408,0.350
3.3241,-2.000,856.505,900.725,-22.110,-17.020,0.350
3.4227,-2.000,895.395,914.881,-9.743,-4.642,0.350
3.5212,-3.000,907.106,952.058,-22.476,-14.357,0.350
3.6191,-4.000,925.610,981.909,-28.150,-17.006,0.350
3.7273,-5.000,945.807,1009.612,-31.902,-17.729,0.350
3.8248,-6.000,966.332,1036.602,-35.135,-17.926,0.350
3.9226,-7.000,986.830,1063.292,-38.231,-17.980,0.350
4.0198,-8.000,1007.221,1089.809,-41.294,-17.995,0.350
4.1172,-9.000,1027.499,1116.203,-44.352,-17.999,0.350
4.2249,-10.000,1041.307,1136.133,-47.413,-18.000,0.350
4.3221,-10.000,1053.943,1122.707,-34.382,-4.909,0.350
4.4191,-11.000,1039.100,1133.038,-46.969,-14.430,0.350
4.5272,-13.000,1013.077,1150.546,-68.734,-30.117,0.350
4.6245,-14.000,1016.267,1142.278,-63.006,-21.305,0.350
4.7217,-14.000,1031.019,1126.210,-47.596,-5.810,0.350
4.8192,-15.000,1016.584,1135.686,-59.551,-14.676,0.350
4.9178,-16.000,1008.543,1138.672,-65.065,-17.093,0.350
5.0249,-17.000,1002.213,1139.865,-68.826,-17.753,0.350
5.1213,-17.000,1014.339,1126.373,-56.017,-4.842,0.350
5.2175,-18.000,999.161,1136.550,-68.695,-14.411,0.350
5.3252,-19.000,990.892,1139.729,-74.419,-17.021,0.350
5.4228,-19.000,1002.493,1126.800,-62.153,-4.642,0.350
5.5203,-20.000,987.294,1137.031,-74.868,-14.357,0.350
5.6265,-21.000,979.113,1140.149,-80.518,-17.006,0.350
5.7224,-21.000,990.830,1127.128,-68.149,-4.638,0.350
5.8204,-22.000,975.638,1137.372,-80.867,-14.356,0.350
5.9177,-23.000,967.465,1140.499,-86.517,-17.006,0.350
6.0252,-23.000,979.188,1127.487,-74.149,-4.638,0.350
6.1231,-23.000,982.014,1123.566,-70.776,-1.265,0.350
6.2173,-23.000,982.468,1122.180,-69.856,-0.345,0.350
6.3172,-23.000,982.323,1121.534,-69.605,-0.094,0.350
6.4170,-23.000,982.055,1121.129,-69.537,-0.026,0.350
6.5253,-22.000,996.799,1103.653,-53.427,13.084,0.350
6.6251,-22.000,987.622,1113.508,-62.943,3.568,0.350
6.7219,-21.000,1000.326,1099.220,-49.447,14.064,0.350
6.8187,-21.000,990.924,1110.275,-59.676,3.836,0.350
6.9175,-20.000,1003.848,1096.597,-46.374,14.137,0.350
7.0247,-20.000,994.746,1108.058,-56.656,3.856,0.350
7.1222,-18.000,1022.859,1077.631,-27.386,27.233,0.350
7.2198,-17.000,1019.978,1082.384,-31.203,20.518,0.350
7.3168,-16.000,1022.266,1082.527,-30.130,18.687,0.350
7.4255,-16.000,1011.113,1098.747,-43.817,5.096,0.350
7.5224,-14.000,1039.498,1070.349,-15.426,27.572,0.350
7.6200,-14.000,1022.356,1093.479,-35.562,7.520,0.350
7.7179,-12.000,1049.382,1067.223,-8.921,28.233,0.350
7.8157,-11.000,1047.122,1073.979,-13.429,20.791,0.350
7.9239,-10.000,1050.362,1075.399,-12.518,18.761,0.350
8.0199,-9.000,1055.156,1075.407,-10.126,18.208,0.350
8.1187,-7.000,1075.434,1057.890,8.772,31.148,0.350
8.2158,-6.000,1071.930,1067.581,2.174,21.586,0.350
8.3238,-5.000,1075.342,1070.268,2.537,18.978,0.350
8.4228,-4.000,1080.618,1071.016,4.801,18.267,0.350
8.5199,-3.000,1086.387,1071.208,7.589,18.073,0.350
8.6195,-3.000,1077.258,1088.403,-5.572,4.929,0.350
8.7165,-3.000,1077.084,1095.434,-9.175,1.344,0.350
8.8247,-3.000,1079.002,1099.343,-10.171,0.367,0.350
8.9228,-3.000,1081.194,1102.105,-10.455,0.100,0.350
9.0218,-3.000,1029.539,1107.761,-14.073,0.025,0.180
9.1187,-2.000,1006.238,1081.924,7.893,18.006,0.180
9.2251,-2.000,952.508,1089.247,-5.628,4.502,0.180
9.3225,-2.000,911.703,1082.967,-9.020,1.125,0.180
9.4198,-2.000,875.808,1071.199,-9.880,0.281,0.180
9.5176,-2.000,842.567,1056.288,-10.107,0.070,0.180
9.6257,-2.000,811.203,1039.083,-10.176,0.018,0.180
9.7232,-2.000,781.338,1020.025,-10.205,0.004,0.180
9.8215,-2.000,752.725,999.414,-10.225,0.001,0.180
9.9193,-2.000,725.169,977.490,-10.241,0.000,0.180
10.0165,-2.000,698.511,954.451,-10.258,0.000,0.180
10.1217,-1.000,693.423,907.257,11.734,18.000,0.180
10.2183,-1.000,655.163,896.438,-1.774,4.500,0.180
10.3154,-1.000,627.507,874.737,-5.157,1.125,0.180
10.4242,-0.000,623.597,826.654,16.000,18.281,0.180
10.5218,1.000,607.054,790.764,24.297,22.570,0.180
10.6185,2.000,587.494,757.516,29.385,23.643,0.180
10.7147,4.000,587.509,700.776,55.685,41.911,0.180
10.8241,5.000,553.739,681.088,46.292,28.478,0.180
