time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0002,-45.000,-985.159,1014.841,-1000.000,-1428.000,0.320
0.0885,-45.000,-460.071,517.610,-488.841,-353.841,0.320
0.1973,-44.000,-165.119,248.961,-207.040,-75.040,0.320
0.2943,-43.000,-80.544,189.370,-134.957,-5.957,0.320
0.3918,-42.000,-48.494,181.183,-114.839,11.161,0.320
0.4920,-41.000,-29.798,185.397,-107.597,15.403,0.320
0.5881,-40.000,-14.697,192.395,-103.546,16.454,0.320
0.6953,-39.000,-0.732,199.840,-100.286,16.714,0.320
0.7924,-39.000,-2.892,222.825,-112.858,4.142,0.320
0.8930,-38.000,19.793,220.466,-100.337,13.663,0.320
0.9918,-38.000,19.467,240.696,-110.614,3.386,0.320
1.0925,-37.000,42.330,237.378,-97.524,13.476,0.320
1.1917,-36.000,57.450,241.497,-92.024,15.976,0.320
1.2940,-35.000,70.559,247.367,-88.404,16.596,0.320
1.3960,-34.000,83.426,253.927,-85.251,16.749,0.320
1.4956,-33.000,97.528,261.953,-82.213,16.787,0.320
1.5968,-32.000,112.749,271.155,-79.203,16.797,0.320
1.6942,-31.000,128.939,281.340,-76.201,16.799,0.320
1.7917,-29.000,160.513,275.639,-57.563,29.437,0.320
1.8883,-29.000,154.753,314.165,-79.706,7.294,0.320
1.9951,-28.000,180.137,319.248,-69.555,14.445,0.320
2.0916,-27.000,200.664,330.232,-64.784,16.216,0.320
2.1883,-25.000,234.860,326.275,-45.707,29.293,0.320
2.2884,-24.000,245.622,349.831,-52.105,19.895,0.320
2.3950,-22.000,278.243,349.834,-35.796,30.204,0.320
2.4924,-20.000,303.890,358.373,-27.241,32.759,0.320
2.5904,-19.000,313.608,386.327,-36.360,20.754,0.320
2.6972,-16.000,361.470,371.782,-5.156,43.054,0.320
2.7944,-14.000,379.161,391.864,-6.351,35.943,0.320
2.8933,-11.000,417.171,390.256,13.458,46.818,0.320
2.9888,-9.000,433.373,414.451,9.461,36.875,0.320
3.0962,-5.000,486.390,397.906,44.242,59.686,0.320
3.1953,-2.000,509.041,416.551,46.245,52.701,0.320
3.2923,1.000,536.674,429.633,53.520,50.970,0.320
3.3907,4.000,563.700,439.470,62.115,50.541,0.320
3.4886,7.000,589.430,447.328,71.051,50.435,0.320
3.5974,10.000,613.866,453.697,80.085,50.409,0.320
3.6962,14.000,650.880,441.282,104.799,63.039,0.320
3.7947,16.000,649.833,472.332,88.751,40.895,0.320
3.8926,20.000,692.079,451.004,120.538,60.682,0.320
3.9913,22.000,691.145,478.812,106.167,40.311,0.320
4.0876,24.000,705.067,490.829,107.119,35.263,0.320
4.1951,28.000,749.821,463.537,143.142,59.286,0.320
4.2958,31.000,762.186,471.270,145.458,52.602,0.320
4.3945,-9.000,77.182,1116.484,-519.651,-492.453,0.320
4.4917,-31.000,91.394,1077.873,-493.239,-400.041,0.320
4.5887,-35.000,347.099,856.843,-254.872,-149.674,0.320
4.6874,-37.000,447.695,794.815,-173.560,-62.362,0.320
4.7954,-37.000,516.383,769.684,-126.650,-15.452,0.320
4.8923,-37.000,548.906,778.960,-115.027,-3.829,0.320
4.9899,-34.000,615.610,746.080,-65.235,36.963,0.320
5.0882,-29.000,681.854,711.561,-14.853,72.345,0.320
5.1864,11.000,1231.601,119.039,556.281,523.413,0.320
5.2953,51.000,1446.504,-129.596,788.050,635.182,0.320
5.3918,67.000,1212.830,91.924,560.453,359.585,0.320
5.4887,70.000,1004.719,330.959,336.880,127.012,0.320
5.5877,72.000,956.643,411.414,272.614,56.746,0.320
