time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-4.000,-122.972,152.654,-137.813,-126.609,0.320
0.0978,-4.000,-8.115,66.590,-37.352,-26.126,0.320
0.2042,-4.000,27.222,60.503,-16.640,-5.391,0.320
0.3021,-4.000,46.296,71.065,-12.384,-1.112,0.320
0.3990,-4.000,62.140,85.187,-11.524,-0.230,0.320
0.4961,-4.000,77.422,100.150,-11.364,-0.047,0.320
0.5931,-4.000,92.679,115.376,-11.349,-0.010,0.320
0.7035,-4.000,108.007,130.733,-11.363,-0.002,0.320
0.8012,-4.000,123.415,146.183,-11.384,-0.000,0.320
0.8987,-4.000,138.894,161.707,-11.406,-0.000,0.320
0.9960,-4.000,154.436,177.293,-11.428,-0.000,0.320
1.0948,-4.000,170.030,192.931,-11.451,-0.000,0.320
1.1928,-4.000,185.669,208.615,-11.473,-0.000,0.320
1.3008,-4.000,201.346,224.337,-11.496,-0.000,0.320
1.3974,-4.000,217.055,240.091,-11.518,-0.000,0.320
1.4941,-4.000,232.792,255.873,-11.540,-0.000,0.320
1.5950,-4.000,248.553,271.678,-11.563,-0.000,0.320
1.7038,-4.000,264.333,287.503,-11.585,-0.000,0.320
1.8015,-4.000,280.130,303.346,-11.608,-0.000,0.320
1.8986,-3.000,309.223,303.761,2.731,11.556,0.320
1.9972,-3.000,316.463,329.377,-6.457,2.384,0.320
2.0948,-3.000,330.905,347.638,-8.366,0.492,0.320
2.1924,-3.000,346.784,364.331,-8.773,0.102,0.320
2.3014,-3.000,362.917,380.659,-8.871,0.021,0.320
2.3974,-3.000,379.067,396.875,-8.904,0.004,0.320
2.4949,-3.000,395.190,413.038,-8.924,0.001,0.320
2.5913,-3.000,411.281,429.165,-8.942,0.000,0.320
2.7001,-3.000,427.344,445.262,-8.959,0.000,0.320
2.7993,-3.000,443.382,461.334,-8.976,0.000,0.320
2.8953,-4.000,443.119,489.826,-23.354,-11.556,0.320
2.9952,-4.000,468.152,496.562,-14.205,-2.384,0.320
3.0910,-4.000,485.911,510.581,-12.335,-0.492,0.320
3.1988,-4.000,502.172,526.106,-11.967,-0.102,0.320
3.2946,-4.000,518.127,541.944,-11.909,-0.021,0.320
3.3926,-4.000,534.020,557.849,-11.914,-0.004,0.320
3.4907,-5.000,533.622,586.211,-26.295,-11.556,0.320
3.6000,-5.000,558.537,592.839,-17.151,-2.385,0.320
3.6969,-5.000,576.195,606.768,-15.286,-0.492,0.320
3.7933,-5.000,592.370,622.217,-14.924,-0.102,0.320
3.8933,-5.000,608.249,637.991,-14.871,-0.021,0.320
4.0027,-5.000,624.079,653.843,-14.882,-0.004,0.320
4.0999,-5.000,639.906,669.720,-14.907,-0.001,0.320
4.1980,-5.000,655.740,685.608,-14.934,-0.000,0.320
4.2935,-5.000,671.581,701.506,-14.962,-0.000,0.320
4.3917,-5.000,687.430,717.410,-14.990,-0.000,0.320
4.4984,-5.000,703.284,733.320,-15.018,-0.000,0.320
4.5945,-4.000,732.424,733.794,-0.685,11.556,0.320
4.6906,-4.000,739.704,759.461,-9.878,2.384,0.320
4.7996,-4.000,754.179,777.766,-11.793,0.492,0.320
4.8973,-4.000,770.085,794.497,-12.206,0.102,0.320
4.9960,-4.000,786.240,810.858,-12.309,0.021,0.320
5.0945,-3.000,815.689,811.663,2.013,11.560,0.320
5.1933,-3.000,823.243,837.599,-7.178,2.385,0.320
5.2908,-3.000,837.953,856.130,-9.088,0.492,0.320
5.3877,-3.000,854.061,873.052,-9.496,0.102,0.320
5.4961,-3.000,870.388,889.575,-9.593,0.021,0.320
5.5927,-3.000,886.704,905.957,-9.627,0.004,0.320
5.6924,-3.000,902.967,922.260,-9.647,0.001,0.320
5.7890,-4.000,902.897,950.947,-24.025,-11.555,0.320
5.8968,-4.000,928.095,957.848,-14.877,-2.384,0.320
5.9933,-4.000,945.994,972.008,-13.007,-0.492,0.320
6.0910,-5.000,946.093,1000.093,-27.000,-11.657,0.320
6.1882,-6.000,954.901,1019.176,-32.137,-13.961,0.320
6.2959,-6.000,981.689,1023.871,-21.091,-2.881,0.320
6.3924,-6.000,983.794,1021.470,-18.838,-0.594,0.320
6.4894,-6.000,984.106,1020.906,-18.400,-0.123,0.320
6.5873,-7.000,967.782,1033.176,-32.697,-11.581,0.320
6.6866,-6.000,989.992,1008.360,-9.184,9.166,0.320
6.7943,-7.000,966.795,1028.502,-30.853,-9.664,0.320
6.8902,-6.000,987.909,1005.632,-8.862,9.561,0.320
6.9886,-6.000,981.040,1014.007,-16.484,1.973,0.320
7.0857,-6.000,980.081,1016.247,-18.083,0.407,0.320
7.1931,-6.000,980.268,1017.148,-18.440,0.084,0.320
7.2880,-6.000,980.631,1017.711,-18.540,0.017,0.320
7.3859,-6.000,980.977,1018.151,-18.587,0.004,0.320
7.4927,-6.000,981.275,1018.522,-18.624,0.001,0.320
7.5898,-6.000,981.525,1018.840,-18.658,0.000,0.320
