time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0004,-24.000,-776.254,823.746,-800.000,-976.696,0.440
0.0780,-24.000,-241.910,333.971,-287.940,-201.540,0.440
0.1769,-24.000,-60.914,195.062,-127.988,-41.588,0.440
0.2766,-24.000,-7.920,182.043,-94.982,-8.582,0.440
0.3737,-25.000,-0.477,212.779,-106.628,-16.628,0.440
0.4735,-25.000,31.048,217.910,-93.431,-3.431,0.440
0.5819,-26.000,32.993,251.323,-109.165,-15.565,0.440
0.6790,-27.000,44.118,274.656,-115.269,-18.069,0.440
0.7772,-28.000,58.016,296.787,-119.386,-18.586,0.440
0.8742,-28.000,93.399,302.669,-104.635,-3.835,0.440
0.9833,-29.000,97.392,337.489,-120.049,-15.649,0.440
1.0799,-29.000,131.627,346.885,-107.629,-3.229,0.440
1.1777,-30.000,136.146,383.193,-123.523,-15.523,0.440
1.2755,-31.000,150.730,410.051,-129.660,-18.060,0.440
1.3836,-31.000,187.996,418.649,-115.327,-3.727,0.440
1.4810,-32.000,193.859,455.511,-130.826,-15.626,0.440
1.5802,-33.000,209.331,483.094,-136.882,-18.082,0.440
1.6768,-34.000,226.892,508.869,-140.988,-18.588,0.440
1.7748,-35.000,244.976,534.361,-144.693,-18.693,0.440
1.8733,-36.000,263.243,559.872,-148.314,-18.714,0.440
1.9746,-36.000,302.022,568.945,-133.462,-3.862,0.440
2.0725,-37.000,308.836,606.544,-148.854,-15.654,0.440
2.1826,-38.000,325.048,634.822,-154.887,-18.087,0.440
2.2826,-38.000,363.631,644.695,-140.532,-3.732,0.440
2.3723,-39.000,370.600,682.654,-156.027,-15.627,0.440
2.4724,-40.000,387.009,711.172,-162.082,-18.082,0.440
2.5797,-40.000,425.773,721.236,-147.731,-3.731,0.440
2.6782,-41.000,432.899,759.353,-163.227,-15.627,0.440
2.7751,-42.000,449.443,788.006,-169.282,-18.082,0.440
2.8825,-44.000,447.507,831.198,-191.845,-33.445,0.440
2.9800,-45.000,477.997,845.515,-183.759,-21.759,0.440
3.0772,-45.000,519.629,852.609,-166.490,-4.490,0.440
