time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0002,2.000,95.203,-47.711,71.457,65.455,0.400
0.0113,2.000,88.604,8.533,40.036,34.031,0.400
0.1072,2.000,86.091,60.884,12.604,6.587,0.400
0.2041,2.000,105.792,91.185,7.304,1.275,0.400
0.3131,2.000,129.847,117.271,6.288,0.247,0.400
0.4090,2.000,154.789,142.588,6.101,0.048,0.400
0.5046,2.000,179.943,167.794,6.074,0.009,0.400
0.6098,1.000,189.501,206.581,-8.540,-11.611,0.400
0.7069,2.000,237.406,206.509,15.449,9.366,0.400
0.8139,1.000,239.845,253.267,-6.711,-9.800,0.400
0.9111,1.000,273.983,271.586,1.198,-1.897,0.400
1.0095,1.000,301.633,296.165,2.734,-0.367,0.400
1.1061,1.000,327.951,321.879,3.036,-0.071,0.400
1.2115,-0.000,338.280,361.319,-11.520,-11.627,0.400
1.3078,-0.000,374.127,378.414,-2.143,-2.250,0.400
1.4039,-0.000,402.262,402.919,-0.328,-0.436,0.400
1.5140,-1.000,412.236,441.428,-14.596,-11.697,0.400
1.6084,-1.000,447.589,457.926,-5.169,-2.264,0.400
1.7049,-2.000,458.696,494.632,-17.968,-12.051,0.400
1.8039,-2.000,494.042,510.565,-8.261,-2.332,0.400
1.9124,-3.000,504.956,546.979,-21.011,-12.064,0.400
2.0099,-3.000,540.101,562.701,-11.300,-2.335,0.400
2.1062,-4.000,550.836,598.944,-24.054,-12.065,0.400
2.2127,-5.000,569.258,627.192,-28.967,-13.948,0.400
2.3076,-5.000,605.631,641.128,-17.749,-2.700,0.400
2.4056,-5.000,632.979,664.182,-15.601,-0.523,0.400
2.5030,-6.000,642.042,701.700,-29.829,-11.714,0.400
2.6092,-7.000,660.000,730.074,-35.037,-13.880,0.400
2.7043,-7.000,696.163,743.934,-23.885,-2.686,0.400
2.8116,-8.000,706.798,779.558,-36.380,-12.133,0.400
2.9070,-8.000,741.515,794.801,-26.643,-2.348,0.400
3.0045,-8.000,768.413,818.008,-24.797,-0.455,0.400
3.1133,-9.000,777.277,855.473,-39.098,-11.701,0.400
3.2103,-10.000,795.100,883.769,-44.335,-13.878,0.400
3.3061,-10.000,831.152,897.557,-33.203,-2.686,0.400
3.4122,-11.000,841.691,933.122,-45.716,-12.133,0.400
3.5102,-11.000,876.323,948.317,-35.997,-2.348,0.400
3.6056,-11.000,903.147,971.486,-34.169,-0.455,0.400
3.7038,-12.000,911.946,1008.921,-48.488,-11.701,0.400
3.8114,-12.000,946.279,1024.526,-39.124,-2.265,0.400
3.9069,-13.000,956.508,1060.484,-51.988,-12.051,0.400
4.0022,-13.000,991.097,1075.792,-42.347,-2.332,0.400
4.1079,-13.000,1017.927,1099.016,-40.544,-0.451,0.400
4.2040,-13.000,1043.305,1123.822,-40.258,-0.087,0.400
4.3106,-13.000,1068.446,1148.977,-40.266,-0.017,0.400
4.4080,-14.000,1077.008,1186.906,-54.949,-11.616,0.400
4.5048,-14.000,1111.370,1202.701,-45.665,-2.248,0.400
4.6049,-13.000,1151.805,1210.439,-29.317,11.178,0.400
4.7019,-13.000,1168.506,1245.325,-38.410,2.163,0.400
4.8090,-13.000,1192.427,1272.891,-40.232,0.419,0.400
4.9047,-12.000,1205.817,1257.875,-26.029,11.694,0.400
5.0025,-11.000,1210.693,1252.518,-20.913,13.876,0.400
5.1100,-11.000,1200.731,1265.070,-32.169,2.686,0.400
5.2054,-10.000,1213.169,1252.734,-19.782,12.133,0.400
5.3103,-9.000,1218.437,1248.453,-15.008,13.961,0.400
5.4074,-8.000,1222.612,1246.016,-11.702,14.315,0.400
5.5043,-7.000,1226.828,1244.179,-8.675,14.384,0.400
5.6013,-6.000,1231.266,1242.662,-5.698,14.397,0.400
5.7081,-5.000,1235.930,1241.381,-2.726,14.399,0.400
5.8042,-4.000,1240.794,1240.292,0.251,14.400,0.400
5.9114,-3.000,1245.831,1239.365,3.233,14.400,0.400
6.0093,-2.000,1251.015,1238.573,6.221,14.400,0.400
6.1049,-1.000,1256.326,1237.896,9.215,14.400,0.400
6.2105,-0.000,1261.746,1237.316,12.215,14.400,0.400
6.3047,-0.000,1253.689,1252.485,0.602,2.787,0.400
6.4111,1.000,1267.134,1241.187,12.973,12.152,0.400
6.5078,1.000,1259.751,1253.393,3.179,2.352,0.400
6.6033,1.000,1259.911,1257.334,1.288,0.455,0.400
