time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0003,-52.000,-776.254,823.746,-800.000,-2116.174,0.440
0.0552,-52.000,-577.840,669.902,-623.871,-436.671,0.440
0.1624,-52.000,-210.233,344.381,-277.307,-90.107,0.440
0.2597,-51.000,-100.275,274.398,-187.336,-3.736,0.440
0.3600,-50.000,-59.762,272.065,-165.914,14.086,0.440
0.4587,-50.000,-52.614,301.572,-177.093,2.907,0.440
0.5579,-49.000,-18.785,303.101,-160.943,15.457,0.440
0.6573,-49.000,-13.924,332.497,-173.210,3.190,0.440
0.7548,-48.000,18.661,333.231,-157.285,15.515,0.440
0.8550,-47.000,41.066,343.349,-151.141,18.059,0.440
0.9650,-47.000,42.657,373.605,-165.474,3.726,0.440
1.0617,-46.000,73.793,373.740,-149.974,15.626,0.440
1.1597,-45.000,95.835,383.671,-143.918,18.082,0.440
1.2569,-43.000,135.207,377.916,-121.355,33.445,0.440
1.3550,-42.000,147.177,406.059,-129.441,21.759,0.440
1.4624,-41.000,169.683,426.189,-128.253,19.347,0.440
1.5611,-39.000,212.582,425.969,-106.693,33.707,0.440
1.6595,-37.000,245.604,438.665,-96.530,36.670,0.440
1.7579,-35.000,277.565,455.003,-88.719,37.281,0.440
1.8560,-33.000,310.138,472.924,-81.393,37.407,0.440
1.9532,-32.000,326.137,511.385,-92.624,22.576,0.440
2.0616,-29.000,388.906,499.246,-55.170,49.230,0.440
2.1610,-28.000,397.079,548.647,-75.784,25.016,0.440
2.2584,-26.000,441.828,559.276,-58.724,34.876,0.440
2.3561,-24.000,479.318,578.296,-49.489,36.911,0.440
2.4549,-22.000,515.675,599.413,-41.869,37.331,0.440
2.5621,-20.000,552.107,621.273,-34.583,37.417,0.440
2.6592,-18.000,588.690,643.678,-27.494,37.435,0.440
2.7577,-16.000,625.567,666.379,-20.406,37.439,0.440
2.8546,-15.000,645.294,708.834,-31.770,22.583,0.440
2.9637,-13.000,693.839,719.583,-12.872,34.374,0.440
3.0616,-11.000,733.312,739.949,-3.318,36.807,0.440
3.1583,-9.000,771.101,762.463,4.319,37.309,0.440
3.2552,-7.000,808.702,785.558,11.572,37.413,0.440
3.3525,-6.000,828.989,828.403,0.293,22.577,0.440
3.4605,-5.000,860.593,859.001,0.796,19.516,0.440
3.5572,-3.000,911.652,867.252,22.200,33.741,0.440
3.6535,-1.000,951.707,887.051,32.328,36.677,0.440
3.7621,-0.000,972.263,928.910,21.677,22.425,0.440
3.8602,2.000,1019.340,937.725,40.807,34.342,0.440
3.9587,3.000,1039.187,975.125,32.031,21.944,0.440
4.0563,5.000,1084.472,981.341,51.566,34.242,0.440
4.1555,6.000,1102.553,1016.774,42.889,21.923,0.440
4.2544,7.000,1129.774,1041.779,43.998,19.381,0.440
4.3625,8.000,1158.473,1064.212,47.131,18.856,0.440
4.4613,9.000,1187.131,1085.756,50.687,18.748,0.440
4.5604,10.000,1215.486,1106.812,54.337,18.726,0.440
4.6583,10.000,1227.016,1147.921,39.547,3.864,0.440
4.7552,10.000,1250.212,1177.107,36.553,0.797,0.440
4.8528,10.000,1275.734,1203.750,35.992,0.165,0.440
4.9601,9.000,1282.150,1247.213,17.469,-14.823,0.440
5.0578,8.000,1300.984,1279.316,10.834,-17.916,0.440
5.1556,7.000,1322.714,1309.422,6.646,-18.554,0.440
5.2533,5.000,1325.811,1356.825,-15.507,-33.543,0.440
5.3626,4.000,1361.236,1375.864,-7.314,-21.779,0.440
5.4581,2.000,1342.523,1396.381,-26.929,-34.208,0.440
5.5534,-1.000,1314.011,1424.327,-55.158,-51.630,0.440
5.6522,-3.000,1318.411,1420.646,-51.118,-40.368,0.440
5.7624,-5.000,1312.904,1424.964,-56.030,-38.044,0.440
5.8513,-8.000,1284.313,1446.843,-81.265,-52.422,0.440
5.9604,-10.000,1286.680,1439.973,-76.647,-40.531,0.440
6.0591,-13.000,1258.618,1458.506,-99.944,-52.935,0.440
6.1553,-16.000,1239.744,1466.581,-113.419,-55.495,0.440
6.2544,-19.000,1222.339,1472.106,-124.883,-56.023,0.440
6.3527,-22.000,1205.032,1476.617,-135.792,-56.132,0.440
6.4613,-25.000,1187.420,1480.650,-146.615,-56.154,0.440
6.5582,-27.000,1189.902,1467.827,-138.962,-41.302,0.440
6.6538,-31.000,1139.658,1499.682,-180.012,-67.951,0.440
6.7597,-33.000,1150.957,1476.951,-162.997,-43.736,0.440
6.8595,-35.000,1142.996,1473.395,-165.200,-38.739,0.440
6.9573,-37.000,1131.032,1473.770,-171.369,-37.708,0.440
7.0545,-39.000,1118.219,1474.932,-178.356,-37.495,0.440
7.1524,-41.000,1105.212,1476.236,-185.512,-37.451,0.440
7.2515,-43.000,1092.147,1477.553,-192.703,-37.442,0.440
7.3599,-44.000,1099.463,1462.351,-181.444,-22.583,0.440
7.4586,-46.000,1074.721,1475.591,-200.435,-34.374,0.440
7.5572,-48.000,1059.299,1479.435,-210.068,-36.807,0.440
7.6558,-49.000,1066.184,1464.810,-199.313,-22.452,0.440
7.7544,-51.000,1041.399,1478.215,-218.408,-34.347,0.440
7.8616,-52.000,1046.415,1465.626,-209.605,-21.945,0.440
7.9594,-53.000,1041.706,1462.998,-210.646,-19.385,0.440
8.0567,-54.000,1035.066,1462.502,-213.718,-18.857,0.440
8.1569,-54.000,1048.499,1446.003,-198.752,-3.891,0.440
8.2550,-55.000,1029.877,1458.119,-214.121,-15.660,0.440
8.3552,-55.000,1041.041,1444.425,-201.692,-3.231,0.440
8.4532,-56.000,1022.123,1457.293,-217.585,-15.524,0.440
8.5527,-56.000,1033.372,1443.901,-205.264,-3.203,0.440
8.6609,-57.000,1014.597,1456.955,-221.179,-15.518,0.440
8.7591,-57.000,1025.981,1443.707,-208.863,-3.202,0.440
8.8569,-57.000,1027.731,1440.374,-206.322,-0.661,0.440
8.9542,-58.000,1007.175,1455.683,-224.254,-14.993,0.440
9.0533,-58.000,1018.345,1443.054,-212.355,-3.094,0.440
9.1512,-58.000,1020.180,1439.978,-209.899,-0.638,0.440
9.2607,-58.000,1020.159,1438.945,-209.393,-0.132,0.440
9.3502,-58.000,1019.816,1438.392,-209.288,-0.027,0.440
9.4594,-58.000,1019.457,1437.989,-209.266,-0.006,0.440
9.5594,-58.000,1019.137,1437.661,-209.262,-0.001,0.440
9.6581,-58.000,1018.863,1437.385,-209.261,-0.000,0.440
9.7557,-58.000,1018.629,1437.151,-209.261,-0.000,0.440
9.8515,-58.000,1018.431,1436.952,-209.261,-0.000,0.440
9.9587,-58.000,1018.262,1436.783,-209.261,-0.000,0.440
10.0571,-58.000,1018.118,1436.639,-209.261,-0.000,0.440
10.1547,-58.000,1017.996,1436.517,-209.261,-0.000,0.440
10.2529,-58.000,1017.892,1436.414,-209.261,-0.000,0.440
10.3592,-58.000,1017.804,1436.325,-209.261,-0.000,0.440
10.4575,-58.000,1017.729,1436.250,-209.261,-0.000,0.440
10.5557,-58.000,1017.665,1436.187,-209.261,-0.000,0.440
10.6549,-58.000,1017.611,1436.132,-209.261,-0.000,0.440
10.7542,-58.000,1017.565,1436.086,-209.261,-0.000,0.440
10.8532,-58.000,1017.526,1436.047,-209.261,-0.000,0.440
10.9569,-58.000,1017.492,1436.014,-209.261,-0.000,0.440
11.0544,-58.000,1017.464,1435.986,-209.261,-0.000,0.440
11.1510,-58.000,1017.440,1435.962,-209.261,-0.000,0.440
11.2597,-58.000,1017.420,1435.941,-209.261,-0.000,0.440
11.3556,-57.000,1034.809,1416.417,-190.804,14.857,0.440
11.4515,-57.000,1023.611,1428.801,-202.595,3.066,0.440
11.5499,-57.000,1021.681,1431.738,-205.028,0.633,0.440
11.6596,-57.000,1021.608,1432.668,-205.530,0.131,0.440
11.7573,-57.000,1021.868,1433.136,-205.634,0.027,0.440
11.8532,-57.000,1022.156,1433.467,-205.655,0.006,0.440
11.9524,-56.000,1039.822,1414.227,-187.203,14.858,0.440
12.0494,-56.000,1028.861,1426.850,-198.995,3.066,0.440
12.1573,-56.000,1027.134,1429.990,-201.428,0.633,0.440
12.2542,-55.000,1044.639,1411.585,-183.473,14.988,0.440
12.3517,-54.000,1051.269,1405.091,-176.911,17.950,0.440
12.4510,-54.000,1038.581,1420.895,-191.157,3.704,0.440
12.5490,-53.000,1054.372,1405.651,-175.639,15.621,0.440
12.6569,-52.000,1061.115,1400.275,-169.580,18.081,0.440
12.7551,-51.000,1066.252,1397.198,-165.473,18.588,0.440
12.8530,-50.000,1071.283,1394.819,-161.768,18.693,0.440
12.9507,-48.000,1093.889,1373.267,-139.689,33.572,0.440
13.0487,-46.000,1105.507,1364.345,-129.419,36.642,0.440
13.1571,-44.000,1115.386,1358.557,-121.586,37.275,0.440
13.2561,-41.000,1142.763,1334.358,-95.798,52.263,0.440
13.3535,-38.000,1159.357,1323.166,-81.905,55.356,0.440
13.4516,-36.000,1157.033,1334.881,-88.924,41.137,0.440
13.5495,-35.000,1148.783,1355.013,-103.115,23.346,0.440
13.6582,-33.000,1171.619,1341.077,-84.729,34.532,0.440
13.7576,-32.000,1168.402,1355.759,-93.678,21.983,0.440
13.8546,-31.000,1174.736,1360.071,-92.668,19.393,0.440
13.9535,-31.000,1165.368,1381.486,-108.059,4.002,0.440
14.0500,-30.000,1184.720,1370.276,-92.778,15.683,0.440
14.1486,-30.000,1177.233,1387.683,-105.225,3.236,0.440
14.2555,-30.000,1178.881,1394.467,-107.793,0.668,0.440
14.3524,-29.000,1199.342,1379.073,-89.866,14.995,0.440
14.4507,-30.000,1170.687,1411.135,-120.224,-11.763,0.440
14.5500,-29.000,1200.378,1385.240,-92.431,12.430,0.440
14.6568,-28.000,1211.034,1378.711,-83.839,17.422,0.440
14.7540,-28.000,1200.461,1395.792,-97.666,3.595,0.440
14.8538,-28.000,1200.373,1401.411,-100.519,0.742,0.440
14.9498,-28.000,1202.135,1404.351,-101.108,0.153,0.440
15.0489,-29.000,1183.605,1422.978,-119.686,-14.826,0.440
15.1582,-30.000,1176.505,1429.259,-126.377,-17.916,0.440
15.2558,-30.000,1191.877,1416.192,-112.158,-3.697,0.440
15.3536,-31.000,1175.383,1430.745,-127.681,-15.620,0.440
15.4522,-31.000,1188.455,1419.023,-115.284,-3.223,0.440
15.5484,-32.000,1171.180,1433.546,-131.183,-15.522,0.440
15.6573,-33.000,1163.422,1438.064,-137.321,-18.060,0.440
15.7534,-34.000,1157.472,1440.361,-141.445,-18.584,0.440
15.8524,-35.000,1151.761,1442.066,-145.153,-18.692,0.440
15.9514,-36.000,1145.986,1443.536,-148.775,-18.714,0.440
16.0491,-37.000,1140.102,1444.861,-152.380,-18.719,0.440
16.1488,-38.000,1134.114,1446.075,-155.981,-18.720,0.440
16.2578,-39.000,1128.034,1447.196,-159.581,-18.720,0.440
16.3563,-40.000,1121.877,1448.238,-163.181,-18.720,0.440
16.4533,-41.000,1115.653,1449.214,-166.781,-18.720,0.440
16.5532,-42.000,1109.372,1450.134,-170.381,-18.720,0.440
16.6504,-43.000,1103.044,1451.006,-173.981,-18.720,0.440
16.7570,-44.000,1096.675,1451.837,-177.581,-18.720,0.440
16.8551,-45.000,1090.271,1452.633,-181.181,-18.720,0.440
16.9544,-46.000,1083.838,1453.400,-184.781,-18.720,0.440
17.0504,-46.000,1097.787,1437.635,-169.924,-3.863,0.440
17.1576,-46.000,1100.081,1433.797,-166.858,-0.797,0.440
17.2571,-46.000,1100.058,1432.508,-166.225,-0.164,0.440
17.3551,-46.000,1099.630,1431.820,-166.095,-0.034,0.440
17.4554,-46.000,1099.183,1431.319,-166.068,-0.007,0.440
17.5541,-46.000,1098.786,1430.910,-166.062,-0.001,0.440
17.6512,-46.000,1098.444,1430.567,-166.061,-0.000,0.440
17.7490,-46.000,1098.154,1430.275,-166.061,-0.000,0.440
17.8486,-47.000,1077.499,1446.535,-184.518,-14.857,0.440
17.9479,-47.000,1088.923,1434.376,-172.727,-3.066,0.440
18.0468,-48.000,1070.636,1448.137,-188.751,-15.490,0.440
18.1561,-48.000,1082.506,1435.420,-176.457,-3.196,0.440
18.2552,-48.000,1084.683,1432.524,-173.920,-0.660,0.440
18.3536,-48.000,1084.901,1431.695,-173.397,-0.136,0.440
18.4510,-49.000,1064.342,1447.834,-191.746,-14.885,0.440
18.5486,-49.000,1075.777,1435.642,-179.932,-3.072,0.440
18.6492,-49.000,1077.893,1432.882,-177.495,-0.634,0.440
18.7502,-49.000,1078.123,1432.106,-176.992,-0.131,0.440
18.8464,-49.000,1077.994,1431.769,-176.888,-0.027,0.440
18.9547,-48.000,1095.225,1412.043,-158.409,14.852,0.440
19.0546,-48.000,1083.878,1424.270,-170.196,3.065,0.440
19.1522,-47.000,1099.226,1407.569,-154.171,15.490,0.440
19.2503,-46.000,1105.265,1401.280,-148.007,18.053,0.440
19.3494,-45.000,1109.738,1397.495,-143.878,18.582,0.440
19.4484,-44.000,1114.189,1394.528,-140.169,18.692,0.440
19.5470,-43.000,1118.893,1391.986,-136.547,18.714,0.440
19.6544,-42.000,1123.866,1389.750,-132.942,18.719,0.440
19.7517,-40.000,1146.488,1368.256,-110.884,33.577,0.440
19.8497,-39.000,1140.726,1378.876,-119.075,21.786,0.440
19.9499,-38.000,1144.407,1380.223,-117.908,19.353,0.440
20.0479,-36.000,1167.500,1360.206,-96.353,33.708,0.440
20.1569,-35.000,1162.461,1371.758,-104.648,21.813,0.440
20.2465,-34.000,1166.825,1373.830,-103.503,19.358,0.440
20.3541,-33.000,1173.104,1373.922,-100.409,18.852,0.440
20.4516,-33.000,1162.350,1393.092,-115.371,3.890,0.440
20.5483,-32.000,1180.247,1380.249,-100.001,15.660,0.440
20.6560,-32.000,1171.466,1396.325,-112.429,3.231,0.440
20.7566,-31.000,1189.409,1382.482,-96.537,15.524,0.440
20.8460,-30.000,1197.738,1378.539,-90.400,18.060,0.440
20.9543,-30.000,1186.768,1396.236,-104.734,3.727,0.440
21.0530,-29.000,1204.077,1382.546,-89.235,15.626,0.440
21.1515,-28.000,1212.120,1378.479,-83.179,18.082,0.440
21.2507,-27.000,1218.367,1376.512,-79.073,18.588,0.440
21.3490,-27.000,1206.933,1394.583,-93.825,3.836,0.440
21.4486,-27.000,1206.710,1400.448,-96.869,0.791,0.440
21.5467,-27.000,1208.480,1403.474,-97.497,0.163,0.440
21.6540,-27.000,1210.388,1405.642,-97.627,0.034,0.440
21.7542,-27.000,1212.094,1407.401,-97.654,0.007,0.440
21.8467,-28.000,1193.154,1425.387,-116.117,-14.856,0.440
21.9554,-29.000,1185.631,1431.198,-122.783,-17.923,0.440
22.0540,-31.000,1159.813,1450.760,-145.473,-33.413,0.440
22.1504,-33.000,1145.859,1457.598,-155.870,-36.609,0.440
22.2483,-34.000,1154.482,1445.026,-145.272,-22.411,0.440
22.3465,-36.000,1131.276,1460.075,-164.400,-34.339,0.440
22.4469,-38.000,1117.248,1465.370,-174.061,-36.800,0.440
22.5465,-40.000,1104.929,1468.466,-181.769,-37.308,0.440
22.6553,-42.000,1092.804,1470.951,-189.074,-37.413,0.440
22.7541,-44.000,1080.585,1473.176,-196.295,-37.434,0.440
22.8505,-45.000,1088.641,1458.726,-185.042,-22.582,0.440
22.9499,-46.000,1084.938,1456.093,-185.578,-19.517,0.440
23.0464,-48.000,1058.420,1472.425,-207.002,-33.742,0.440
23.1543,-49.000,1063.464,1460.825,-198.680,-21.820,0.440
23.2526,-50.000,1059.087,1458.728,-199.820,-19.360,0.440
23.3505,-50.000,1073.200,1442.111,-184.456,-3.995,0.440
23.4526,-51.000,1054.900,1454.384,-199.742,-15.681,0.440
23.5506,-52.000,1045.877,1457.384,-205.754,-18.093,0.440
23.6474,-53.000,1038.769,1458.472,-209.851,-18.591,0.440
