time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0005,1.000,63.247,62.437,0.405,-1.125
0.0519,1.000,127.688,125.412,1.138,-0.422
0.1034,1.000,191.685,188.822,1.432,-0.158
0.1546,1.000,255.515,252.394,1.561,-0.059
0.2056,1.000,319.280,316.024,1.628,-0.022
0.2576,1.000,383.018,379.675,1.672,-0.008
0.3090,1.000,446.745,443.332,1.707,-0.003
0.3605,1.000,510.467,506.989,1.739,-0.001
0.4120,1.000,574.185,570.646,1.770,-0.000
0.4645,1.000,637.901,634.301,1.800,-0.000
0.5168,1.000,701.615,697.955,1.830,-0.000
0.5683,1.000,765.327,761.607,1.860,-0.000
0.6195,1.000,829.037,825.257,1.890,-0.000
0.6713,1.000,892.746,888.906,1.920,-0.000
0.7231,1.000,956.453,952.553,1.950,-0.000
0.7746,1.000,1020.159,1016.199,1.980,-0.000
0.8260,1.000,1083.864,1079.844,2.010,-0.000
0.8770,1.000,1147.568,1143.488,2.040,-0.000
0.9285,1.000,1211.272,1207.132,2.070,-0.000
0.9803,1.000,1274.974,1270.774,2.100,-0.000
1.0328,1.000,1275.013,1270.753,2.130,-0.000
1.0844,0.000,1273.867,1270.357,1.755,1.125
1.1356,0.000,1273.254,1271.150,1.052,0.422
1.1870,0.000,1273.073,1271.497,0.788,0.158
1.2388,0.000,1273.051,1271.672,0.689,0.059
1.2899,-1.000,1271.859,1271.365,0.247,1.147
1.3415,0.000,1270.847,1271.037,-0.095,-0.695
1.3936,0.000,1271.465,1270.787,0.339,-0.261
1.4444,0.000,1271.797,1270.793,0.502,-0.098
1.4958,1.000,1271.599,1269.662,0.968,-1.162
1.5478,1.000,1272.544,1269.095,1.724,-0.436
1.5990,1.000,1273.020,1268.967,2.027,-0.163
1.6511,0.000,1272.127,1268.619,1.754,1.064
1.7026,-1.000,1270.466,1269.099,0.684,1.524
1.7542,-2.000,1268.576,1269.863,-0.644,1.696
1.8058,-2.000,1267.797,1271.205,-1.704,0.636
1.8574,-3.000,1266.464,1271.416,-2.476,1.364
1.9090,-3.000,1265.895,1272.553,-3.329,0.511
1.9611,-3.000,1265.837,1273.134,-3.648,0.192
2.0128,-3.000,1265.958,1273.494,-3.768,0.072
2.0650,-2.000,1265.729,1272.605,-3.438,-1.098
2.1169,-2.000,1266.701,1272.205,-2.752,-0.412
2.1679,-2.000,1267.222,1272.210,-2.494,-0.154
2.2194,-2.000,1267.560,1272.356,-2.398,-0.058
2.2700,-2.000,1267.819,1272.542,-2.362,-0.022
