time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0002,3.000,27.640,9.640,9.000,0.000
0.0213,3.000,46.416,28.416,9.000,0.000
0.1143,3.000,65.217,47.217,9.000,0.000
0.2187,3.000,84.042,66.042,9.000,0.000
0.3206,3.000,102.888,84.888,9.000,0.000
0.4133,3.000,121.755,103.755,9.000,0.000
0.5163,2.000,134.792,122.792,6.000,0.000
0.6203,2.000,154.043,142.043,6.000,0.000
0.7131,1.000,166.401,160.401,3.000,0.000
0.8159,1.000,186.059,180.059,3.000,0.000
0.9193,1.000,205.671,199.671,3.000,0.000
1.0219,1.000,225.243,219.243,3.000,0.000
1.1138,0.000,237.897,237.897,0.000,0.000
1.2169,0.000,257.826,257.826,0.000,0.000
1.3210,0.000,277.689,277.689,0.000,0.000
1.4148,-1.000,290.371,296.371,-3.000,0.000
1.5197,-2.000,303.206,315.206,-6.000,0.000
1.6135,-2.000,323.302,335.302,-6.000,0.000
1.7187,-2.000,343.319,355.319,-6.000,0.000
1.8225,-2.000,363.262,375.262,-6.000,0.000
1.9171,-3.000,376.017,394.017,-9.000,0.000
2.0201,-2.000,395.160,407.160,-6.000,0.000
2.1129,-3.000,408.420,426.420,-9.000,0.000
2.2159,-3.000,428.906,446.906,-9.000,0.000
2.3180,-3.000,449.281,467.281,-9.000,0.000
2.4209,-4.000,462.435,486.435,-12.000,0.000
