time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0005,-48.000,690.640,-653.360,672.000,840.000
0.0659,-48.000,515.013,-441.295,478.154,646.154
0.1636,-48.000,383.731,-274.352,329.041,497.041
0.2591,-49.000,299.156,-154.830,226.993,398.493
0.3562,-63.000,401.496,-222.879,312.187,532.687
0.4634,-66.000,333.372,-121.069,227.221,458.221
0.5591,-68.000,269.502,-24.069,146.785,384.785
0.6658,-70.000,222.323,55.730,83.296,328.296
0.7616,-73.000,200.598,109.603,45.497,300.997
0.8562,-75.000,172.303,169.614,1.344,263.844
0.9618,-76.000,139.728,233.507,-46.889,219.111
1.0576,-77.000,117.294,286.892,-84.799,184.701
1.1644,-78.000,102.631,332.169,-114.769,158.231
1.2604,-78.000,81.268,383.836,-151.284,121.716
1.3569,-77.000,55.536,439.587,-192.026,77.474
1.4631,-75.000,27.227,497.652,-235.212,27.288
1.5610,-73.000,10.380,544.014,-266.817,-11.317
1.6576,-70.000,-10.324,594.010,-302.167,-57.167
1.7632,-67.000,-20.549,633.324,-326.936,-92.436
1.8595,-64.000,-22.729,664.404,-343.566,-119.566
1.9570,-48.000,-201.874,834.997,-518.436,-350.436
2.0640,-46.000,-150.247,775.500,-462.874,-301.874
2.1608,-43.000,-122.165,740.179,-431.172,-280.672
2.2582,-39.000,-111.340,722.694,-417.017,-280.517
2.3648,-35.000,-100.284,705.511,-402.898,-280.398
2.4611,-30.000,-101.665,701.254,-401.460,-296.460
2.5577,-26.000,-86.460,680.863,-383.661,-292.661
2.6650,-21.000,-84.578,674.209,-379.393,-305.893
2.7616,-17.000,-66.797,652.039,-359.418,-299.918
2.8573,-13.000,-50.220,631.423,-340.821,-295.321
2.9652,-10.000,-21.888,599.376,-310.632,-275.632
3.0611,-7.000,2.049,572.021,-284.986,-260.486
3.1575,-4.000,22.627,548.298,-262.835,-248.835
3.2619,-2.000,54.272,515.711,-230.720,-223.720
3.3577,0.000,80.350,489.149,-204.400,-204.400
3.4637,3.000,88.168,478.552,-195.192,-205.692
3.5599,5.000,109.737,455.802,-173.032,-190.532
3.6651,7.000,127.662,436.405,-154.371,-178.871
3.7597,10.000,129.807,431.916,-151.055,-186.055
3.8552,14.000,121.048,438.517,-158.734,-207.734
3.9590,17.000,130.033,427.548,-148.757,-208.257
4.0564,21.000,126.565,429.191,-151.313,-224.813
4.1653,25.000,126.989,427.087,-150.049,-237.549
4.2611,29.000,130.420,422.111,-145.845,-247.345
4.3647,33.000,136.174,414.935,-139.381,-254.881
4.4616,36.000,156.377,393.424,-118.524,-244.524
4.5583,39.000,174.242,374.356,-100.057,-236.557
4.6556,42.000,190.317,357.174,-83.428,-230.428
4.7648,45.000,205.022,341.450,-68.214,-225.714
4.8633,47.000,231.334,314.202,-41.434,-205.934
4.9604,50.000,240.465,304.209,-31.872,-206.872
5.0593,53.000,249.846,294.034,-22.094,-207.594
5.1566,55.000,272.080,271.071,0.505,-191.995
5.2639,57.000,290.744,251.736,19.504,-179.996
5.3624,58.000,319.319,222.544,48.387,-154.613
5.4605,58.000,358.314,190.179,84.067,-118.933
5.5599,57.000,397.864,149.530,124.167,-75.333
5.6571,56.000,427.397,118.986,154.205,-41.795
5.7546,55.000,449.231,96.223,176.504,-15.996
5.8654,55.000,456.382,95.991,180.196,-12.304
5.9626,54.000,471.171,79.793,195.689,6.689
6.0620,53.000,481.712,68.114,206.799,21.299
6.1598,51.000,501.502,47.119,227.192,48.692
6.2563,49.000,515.019,32.494,241.263,69.763
6.3638,46.000,536.371,10.121,263.125,102.125
6.4626,43.000,550.296,-4.742,277.519,127.019
6.5612,38.000,583.822,-39.131,311.476,178.476
6.6581,34.000,592.853,-48.957,320.905,201.905
6.7552,28.000,621.817,-78.652,350.235,252.235
6.8625,22.000,639.196,-96.703,367.950,290.950
6.9581,15.000,660.322,-118.447,389.384,336.884
7.0618,7.000,683.525,-142.220,412.873,388.373
7.1574,-1.000,694.870,-154.088,424.479,427.979
7.2640,-11.000,722.403,-182.103,452.253,490.753
7.3619,-21.000,735.469,-195.612,465.541,539.041
7.4609,-30.000,724.756,-185.307,455.031,560.031
7.5572,-42.000,747.177,-208.102,477.640,624.640
7.6630,-62.000,855.933,-317.204,586.569,803.569
7.7567,-77.000,860.143,-321.732,590.938,860.438
