time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0008,-9.000,53.015,-3.919,28.467,35.217
0.0656,-9.000,65.261,32.825,16.218,22.968
0.1698,-9.000,81.883,65.425,8.229,14.979
0.2675,-9.000,101.387,95.349,3.019,9.769
0.3746,-9.000,122.793,123.551,-0.379,6.371
0.4725,-10.000,144.202,143.066,0.568,8.068
0.5688,-10.000,166.759,171.236,-2.238,5.262
0.6750,-10.000,190.305,198.442,-4.068,3.432
0.7715,-9.000,205.454,222.304,-8.425,-1.675
0.8678,-9.000,232.258,247.943,-7.842,-1.092
0.9736,-9.000,258.769,273.694,-7.462,-0.712
1.0697,-8.000,276.024,296.780,-10.378,-4.378
1.1656,-8.000,304.353,322.063,-8.855,-2.855
1.2720,-7.000,322.948,344.998,-11.025,-5.775
1.3689,-7.000,352.285,370.318,-9.016,-3.766
1.4655,-6.000,371.658,393.396,-10.869,-6.369
1.5725,-5.000,392.564,416.198,-11.817,-8.067
1.6692,-4.000,414.614,438.962,-12.174,-9.174
1.7658,-4.000,446.579,464.546,-8.983,-5.983
1.8738,-3.000,467.995,488.125,-10.065,-7.815
1.9693,-3.000,499.566,514.260,-7.347,-5.097
2.0659,-2.000,520.742,538.216,-8.737,-7.237
2.1742,-2.000,552.174,564.614,-6.220,-4.720
2.2704,-1.000,573.273,588.755,-7.741,-6.991
2.3652,-1.000,604.667,615.285,-5.309,-4.559
2.4720,0.000,625.752,639.525,-6.887,-6.887
2.5688,1.000,647.862,663.171,-7.654,-8.404
2.6750,1.000,679.974,689.436,-4.731,-5.481
2.7698,1.000,710.623,716.272,-2.825,-3.575
2.8662,1.000,740.215,743.377,-1.581,-2.331
2.9735,1.000,769.028,770.569,-0.770,-1.520
3.0697,0.000,794.538,788.695,2.921,2.921
3.1653,0.000,821.778,817.967,1.905,1.905
3.2710,1.000,839.753,843.594,-1.920,-2.670
3.3663,3.000,850.356,864.991,-7.318,-9.568
3.4726,5.000,864.254,884.886,-10.316,-14.066
3.5663,6.000,889.788,906.961,-8.586,-13.086
3.6719,6.000,924.343,932.413,-4.035,-8.535
3.7672,6.000,956.771,958.903,-1.066,-5.566
3.8651,8.000,969.120,980.033,-5.456,-11.456
3.9743,9.000,993.609,1002.878,-4.634,-11.384
4.0702,10.000,1018.168,1025.844,-3.838,-11.338
4.1662,11.000,1042.795,1048.910,-3.057,-11.307
4.2729,12.000,1067.486,1072.061,-2.287,-11.287
4.3701,13.000,1092.235,1095.284,-1.524,-11.274
4.4649,14.000,1117.038,1118.569,-0.766,-11.266
4.5731,15.000,1141.887,1141.908,-0.010,-11.260
4.6688,15.000,1176.062,1168.250,3.906,-7.344
4.7643,16.000,1199.017,1192.422,3.298,-8.702
4.8713,17.000,1222.553,1216.230,3.161,-9.589
4.9667,17.000,1230.310,1217.316,6.497,-6.253
5.0727,18.000,1227.093,1216.076,5.509,-7.991
5.1693,18.000,1233.911,1217.335,8.288,-5.212
5.2649,18.000,1239.278,1219.076,10.101,-3.399
5.3686,18.000,1243.588,1221.022,11.283,-2.217
5.4734,17.000,1244.394,1213.960,15.217,2.467
5.5698,17.000,1246.784,1218.066,14.359,1.609
5.6666,17.000,1249.082,1221.483,13.799,1.049
5.7723,16.000,1248.515,1215.320,16.597,4.597
5.8682,16.000,1249.955,1219.958,14.998,2.998
5.9651,15.000,1248.869,1214.632,17.118,5.868
6.0715,15.000,1250.007,1219.852,15.077,3.827
6.1675,14.000,1248.756,1214.938,16.909,6.409
6.2762,13.000,1247.097,1211.411,17.843,8.093
6.3711,12.000,1245.283,1208.901,18.191,9.191
6.4658,11.000,1243.467,1207.153,18.157,9.907
6.5715,9.000,1239.019,1196.944,21.037,14.287
6.6680,7.000,1234.167,1189.379,22.394,17.144
6.7649,6.000,1232.023,1192.835,19.594,15.094
6.8722,4.000,1227.916,1186.576,20.670,17.670
6.9689,2.000,1223.776,1182.076,20.850,19.350
7.0649,-1.000,1216.852,1169.635,23.609,24.359
7.1713,-3.000,1211.945,1169.021,21.462,23.712
7.2663,-5.000,1207.355,1168.273,19.541,23.291
7.3725,-7.000,1202.991,1167.460,17.766,23.016
7.4676,-10.000,1195.836,1157.338,19.249,26.749
7.5736,-12.000,1191.017,1158.474,16.271,25.271
7.6697,-15.000,1183.735,1149.795,16.970,28.220
7.7653,-18.000,1176.026,1142.738,16.644,30.144
7.8724,-20.000,1171.130,1146.160,12.485,27.485
7.9680,-22.000,1167.008,1148.505,9.251,25.751
8.0652,-22.000,1169.269,1168.680,0.294,16.794
8.1734,-24.000,1167.385,1165.828,0.779,18.779
8.2692,-26.000,1164.856,1163.709,0.573,20.073
8.3667,-31.000,1153.044,1134.231,9.406,32.656
8.4637,-35.000,1141.690,1120.290,10.700,36.950
8.5709,-41.000,1123.966,1090.314,16.826,47.576
8.6657,-45.000,1110.602,1084.742,12.930,46.680
8.7724,-62.000,1123.369,1022.438,50.465,96.965
8.8697,-67.000,1091.457,1026.351,32.553,82.803
8.9633,-73.000,1062.595,1017.134,22.730,77.480
9.0705,-77.000,1043.063,1026.197,8.433,66.183
9.1747,-80.000,1030.565,1040.761,-5.098,54.902
9.2721,-84.000,1018.550,1041.634,-11.542,51.458
9.3691,-87.000,1010.879,1050.782,-19.951,45.299
9.4655,-93.000,997.353,1030.812,-16.729,53.021
14.6659,-99.000,274.548,-225.452,250.000,387.391
14.7614,-94.000,210.871,-114.292,162.581,233.081
14.8686,-90.000,140.178,2.464,68.857,136.357
14.9661,-90.000,115.156,72.299,21.429,88.929
15.0631,-89.000,102.918,128.251,-12.666,54.084
15.1696,-88.000,102.317,171.599,-34.641,31.359
15.2673,-87.000,109.194,206.617,-48.711,16.539
15.3630,-87.000,124.014,232.942,-54.464,10.786
15.4705,-87.000,140.505,256.937,-58.216,7.034
15.5674,-86.000,154.849,282.499,-63.825,0.675
15.6632,-86.000,174.312,302.432,-64.060,0.440
15.7611,-84.000,187.305,328.384,-70.539,-7.539
