time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0014,13.000,152.773,133.706,9.533,-19.067
0.1035,13.000,323.142,278.653,22.244,-6.356
0.2051,13.000,485.337,432.374,26.481,-2.119
0.3068,13.000,644.946,589.159,27.894,-0.706
0.4092,11.000,641.904,588.108,26.898,2.698
0.5110,9.000,637.721,590.456,23.633,3.833
0.6134,7.000,633.686,594.464,19.611,4.211
0.7155,6.000,631.494,599.354,16.070,2.870
0.8174,4.000,629.353,603.093,13.130,3.890
0.9190,2.000,626.873,608.293,9.290,4.230
1.0206,0.000,624.394,614.387,5.003,4.343
1.1222,-2.000,620.537,619.695,0.421,4.381
1.2242,-3.000,617.774,624.900,-3.563,2.927
1.3258,-5.000,613.613,627.575,-6.981,3.909
1.4278,-5.000,612.412,631.586,-9.587,1.303
1.5291,-6.000,610.574,632.952,-11.189,1.901
1.6305,-6.000,610.118,635.031,-12.456,0.634
1.7316,-6.000,610.345,636.103,-12.879,0.211
1.8326,-6.000,610.724,636.763,-13.020,0.070
1.9345,-7.000,608.999,636.598,-13.800,1.490
2.0363,-8.000,606.156,637.210,-15.527,1.963
2.1380,-9.000,602.862,637.999,-17.569,2.121
2.2397,-10.000,599.352,638.785,-19.716,2.174
2.3417,-10.000,597.813,640.144,-21.165,0.725
2.4430,-11.000,595.165,639.929,-22.382,1.708
2.5451,-12.000,591.788,640.296,-24.254,2.036
2.6474,-13.000,588.133,640.822,-26.345,2.145
2.7496,-12.000,586.544,640.628,-27.042,-0.752
2.8514,-11.000,587.426,639.040,-25.807,-1.717
2.9534,-11.000,589.288,638.613,-24.662,-0.572
3.0554,-10.000,590.337,637.432,-23.547,-1.657
3.1570,-9.000,592.482,635.901,-21.709,-2.019
3.2587,-9.000,595.074,635.800,-20.363,-0.673
3.3609,-10.000,594.426,635.722,-20.648,1.242
3.4622,-11.000,592.214,636.632,-22.209,1.881
3.5635,-11.000,591.440,638.366,-23.463,0.627
3.6662,-12.000,589.312,638.541,-24.614,1.676
3.7679,-13.000,586.320,639.250,-26.465,2.025
3.8700,-14.000,582.964,640.060,-28.548,2.142
3.9717,-15.000,579.424,640.843,-30.709,2.181
4.0738,-15.000,577.868,642.194,-32.163,0.727
4.1756,-15.000,577.301,642.597,-32.648,0.242
4.2778,-15.000,577.074,642.692,-32.809,0.081
4.3790,-16.000,574.874,642.067,-33.596,1.494
4.4809,-16.000,573.748,642.933,-34.592,0.498
4.5829,-16.000,573.312,643.161,-34.924,0.166
4.6838,-15.000,573.212,641.815,-34.301,-1.411
4.7846,-15.000,574.574,641.295,-33.360,-0.470
4.8877,-14.000,575.318,639.945,-32.313,-1.623
4.9888,-13.000,577.252,638.247,-30.498,-2.008
5.0904,-13.000,579.684,638.003,-29.159,-0.669
5.1916,-12.000,581.099,637.059,-27.980,-1.690
5.2929,-12.000,583.414,637.121,-26.853,-0.563
5.3949,-11.000,584.833,636.322,-25.744,-1.654
5.4981,-10.000,587.278,635.094,-23.908,-2.018
5.6000,-9.000,590.204,633.863,-21.829,-2.139
5.7013,-7.000,593.494,631.367,-18.936,-3.646
5.8032,-6.000,598.336,629.881,-15.772,-2.682
5.9051,-5.000,602.560,629.062,-13.251,-2.361
6.0061,-4.000,606.149,628.916,-11.384,-2.254
6.1082,-3.000,609.792,628.748,-9.478,-2.218
6.2100,-2.000,613.534,628.506,-7.486,-2.206
6.3128,-1.000,617.388,628.172,-5.392,-2.202
6.4138,0.000,621.358,627.739,-3.191,-2.201
6.5152,1.000,624.722,626.483,-0.880,-2.200
6.6172,2.000,627.626,624.546,1.540,-2.200
6.7191,3.000,630.183,622.043,4.070,-2.200
6.8205,4.000,632.484,619.064,6.710,-2.200
6.9222,5.000,634.054,616.234,8.910,-2.200
7.0242,6.000,635.389,613.169,11.110,-2.200
7.1262,7.000,636.537,609.917,13.310,-2.200
7.2282,7.000,638.163,608.609,14.777,-0.733
7.3300,8.000,638.152,606.154,15.999,-1.711
7.4309,8.000,639.306,605.027,17.140,-0.570
7.5326,9.000,639.070,602.564,18.253,-1.657
7.6345,9.000,640.095,601.380,19.358,-0.552
7.7364,10.000,639.773,598.855,20.459,-1.651
7.8374,10.000,640.735,597.616,21.560,-0.550
7.9393,10.000,640.991,597.138,21.927,-0.183
8.0417,10.000,641.024,596.927,22.049,-0.061
