time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
5.2080,-78.000,33.393,91.893,-29.250,87.750
5.2583,-78.000,40.256,208.444,-84.094,32.906
5.3093,-77.000,85.194,285.194,-100.000,11.215
5.3601,-78.000,145.245,345.245,-100.000,5.331
5.4112,-78.000,204.667,404.667,-100.000,1.999
5.4622,-77.000,263.693,463.693,-100.000,-0.375
5.5132,-77.000,323.889,523.889,-100.000,-0.141
5.5642,-76.000,383.627,583.627,-100.000,-1.178
5.6152,-76.000,444.478,644.478,-100.000,-0.442
5.6655,-75.000,504.819,704.819,-100.000,-1.291
5.7163,-75.000,566.225,766.225,-100.000,-0.484
5.7674,-74.000,627.076,827.076,-100.000,-1.306
5.8185,-73.000,688.215,888.215,-100.000,-1.615
5.8695,-72.000,749.620,949.620,-100.000,-1.731
5.9206,-70.000,810.534,1010.534,-100.000,-2.899
5.9717,-69.000,872.532,1072.532,-100.000,-2.212
6.0227,-67.000,933.991,1133.991,-100.000,-3.080
6.0735,-66.000,996.490,1196.490,-100.000,-2.280
6.1247,-65.000,1059.666,1258.626,-99.480,-1.980
6.1755,-64.000,1124.079,1319.814,-97.867,-1.867
6.2265,-63.000,1124.893,1317.544,-96.325,-1.825
6.2788,-47.000,1120.388,1298.757,-89.184,-18.684
6.3305,-46.000,1133.790,1288.053,-77.132,-8.132
6.3827,-45.000,1140.553,1283.901,-71.674,-4.174
6.4346,-43.000,1144.441,1281.072,-68.315,-3.815
6.4867,-41.000,1148.190,1278.552,-65.181,-3.681
6.5385,-39.000,1151.934,1276.195,-62.130,-3.630
6.5906,-37.000,1155.719,1273.942,-59.111,-3.611
6.6425,-34.000,1159.198,1270.657,-55.729,-4.729
6.6935,-31.000,1163.560,1266.857,-51.648,-5.148
6.7445,-29.000,1168.714,1264.076,-47.681,-4.181
6.7950,-26.000,1172.936,1260.821,-43.943,-4.943
6.8456,-23.000,1177.787,1257.244,-39.729,-5.229
6.8968,-19.000,1182.597,1252.518,-34.961,-6.461
6.9478,-17.000,1189.152,1249.497,-30.173,-4.673
6.9988,-13.000,1193.853,1245.358,-25.752,-6.252
7.0497,-9.000,1199.776,1240.465,-20.345,-6.845
7.1006,-6.000,1206.644,1236.528,-14.942,-5.942
7.1517,-3.000,1213.023,1233.230,-10.103,-5.603
7.2025,-1.000,1219.590,1231.353,-5.881,-4.351
7.2535,2.000,1224.728,1228.802,-2.037,-5.007
7.3045,3.000,1230.959,1228.024,1.467,-3.003
7.3558,5.000,1235.165,1226.977,4.094,-3.376
7.4065,6.000,1239.840,1226.682,6.579,-2.391
7.4576,8.000,1243.170,1225.524,8.823,-3.147
7.5085,10.000,1246.759,1223.678,11.540,-3.430
7.5595,11.000,1250.815,1222.698,14.059,-2.411
7.6105,13.000,1253.559,1220.927,16.316,-3.154
7.6616,15.000,1256.600,1218.526,19.037,-3.433
7.7125,18.000,1259.173,1214.557,22.308,-4.662
7.7635,21.000,1262.378,1209.684,26.347,-5.123
7.8146,24.000,1265.746,1204.398,30.674,-5.296
7.8654,26.000,1269.595,1200.127,34.734,-4.236
7.9163,28.000,1272.671,1196.408,38.131,-3.839
7.9683,29.000,1275.885,1194.074,40.906,-2.564
8.0203,31.000,1277.715,1191.198,43.258,-3.212
8.0724,32.000,1280.352,1189.071,45.641,-2.329
8.1243,33.000,1282.353,1187.410,47.471,-1.999
8.1764,34.000,1284.070,1185.879,49.096,-1.874
8.2274,36.000,1285.149,1183.115,51.017,-2.953
8.2784,38.000,1286.841,1179.616,53.613,-3.357
