t_s,v_cmd_ms,voltage_v,encoder_v_ms,encoder_rpm,encoder_count
0.0,0.0,0.0655,,,
0.051,0.0,0.0655,,,
0.101,0.0,0.0655,,,27689824
0.152,0.0,0.0655,,,27689824
0.204,0.0,0.0655,-0.0,-0.0,27689824
0.256,0.0,0.0655,-0.0,-0.0,27689824
0.306,0.0,0.0655,-0.0,-0.0,27689824
0.357,0.0,0.0655,-0.0,-0.0,27689824
0.409,0.0,0.0655,-0.0,-0.0,27689824
0.46,0.0,0.0655,-0.0,-0.0,27689824
0.51,0.0,0.0655,-0.0,-0.0,27689824
0.561,0.0,0.0655,-0.0,-0.0,27689824
0.612,0.0,0.0655,-0.0,-0.0,27689824
0.663,0.0,0.0655,-0.0,-0.0,27689824
0.714,0.0,0.0655,-0.0,-0.0,27689824
0.765,0.0,0.0655,-0.0,-0.0,27689824
0.816,0.0,0.0655,-0.0,-0.0,27689824
0.867,0.0,0.0655,-0.0,-0.0,27689824
0.918,0.0,0.0655,-0.0,-0.0,27689824
0.969,0.0,0.0655,-0.0,-0.0,27689824
1.02,0.0,0.0655,-0.0,-0.0,27689824
1.071,0.0,0.0655,-0.0,-0.0,27689824
1.122,0.0,0.0655,-0.0,-0.0,27689824
1.173,0.0,0.0655,-0.0,-0.0,27689824
1.224,0.0,0.0655,-0.0,-0.0,27689824
1.275,0.0,0.0655,-0.0,-0.0,27689824
1.326,0.0,0.0655,-0.0,-0.0,27689824
1.377,0.0,0.0655,-0.0,-0.0,27689824
1.428,0.0,0.0655,-0.0,-0.0,27689824
1.479,0.0,0.0655,-0.0,-0.0,27689824
1.53,0.0,0.0655,-0.0,-0.0,27689824
1.581,0.0,0.0655,-0.0,-0.0,27689824
1.632,0.0,0.0655,-0.0,-0.0,27689824
1.684,0.0,0.0655,-0.0,-0.0,27689824
1.736,0.0,0.0655,-0.0,-0.0,27689824
1.788,0.0,0.0655,-0.0,-0.0,27689824
1.84,0.0,0.0655,-0.0,-0.0,27689824
1.891,0.0,0.0655,-0.0,-0.0,27689824
1.942,0.0,0.0655,-0.0,-0.0,27689824
1.994,0.0,0.0655,-0.0,-0.0,27689824
2.045,0.025,0.1287,-0.0,-0.0,27689824
2.096,0.025,0.1287,-0.0,-0.0,27689824
2.148,0.025,0.1287,-0.0,-0.0,27689824
2.2,0.025,0.1287,-0.0,-0.0,27689824
2.252,0.025,0.1287,-0.0,-0.0,27689824
2.304,0.025,0.1287,-0.0,-0.0,27689824
2.356,0.025,0.1287,-0.0,-0.0,27689824
2.408,0.025,0.1287,-0.0,-0.0,27689824
2.458,0.025,0.1287,-0.0,-0.0,27689824
2.509,0.025,0.1287,-0.0,-0.0,27689824
